"methods","tissue_spiked","aitchison_median","diff_aitchison"
"TSI>0.9","nerve",0.546641436892855,-0.219366031844756
"TSI>0.9","pancreas",0.286221452303277,-0.282526420678813
"TSI>0.9","skin",0.307396916098865,-0.0811555414644367
"TSI>0.9","spleen",0.590743508025184,-0.122158951540572
"TSI>0.9","stomach",1.10369439899179,0.310037176964669
"xCell2","adipocyte",3.86045138253792,3.19773017084298
"xCell2","artery",9.65420641360809,9.19271310245992
"xCell2","bladder",4.11830869865355,3.6453314267404
"xCell2","bone",4.11252424257375,3.66531580420955
"xCell2","bowel",1.01416564167119,0.367164273929276
"xCell2","brain",0.670127386616539,0.294821766142072
"xCell2","heart",0.849394159518663,0.491107607013495
"xCell2","kidney",29.1809666184241,28.5848389518631
"xCell2","liver",1.24271265660052,0.924497608438571
"xCell2","lung",5.82136987546857,5.04145920299221
"xCell2","lymph node",34.2923853405251,33.761816877913
"xCell2","nerve",4.29847076462558,3.53246329588797
"xCell2","pancreas",33.4627984987113,32.8940506257292
"xCell2","salivary gland",2.81166141426365,2.28510186312922
"xCell2","skin",30.3365886469939,29.9480361894306
"xCell2","spleen",5.24983900738017,4.53693654781442
"xCell2","stomach",4.75074502623169,3.95708780420457
"AutoGeneS-log","bladder",NA,NA
"AutoGeneS-log","lymph node",NA,NA
"TSI>0.9","lymph node",NA,NA
"Source-provided","lymph node",NA,NA
"AutoGeneS-log","salivary gland",NA,NA
"TSI>0.9","salivary gland",NA,NA
"Source-provided","salivary gland",NA,NA
"RNAAtlas","salivary gland",NA,NA
"AutoGeneS-log","spleen",NA,NA
"AutoGeneS-log","adipocyte",NA,NA
"AutoGeneS-log","artery",NA,NA
"TSI>0.9","artery",NA,NA
"Source-provided","artery",NA,NA
"RNAAtlas","artery",NA,NA
"AutoGeneS-log","bone",NA,NA
"RNAAtlas","bone",NA,NA
"AutoGeneS-log","skin",NA,NA
"RNAAtlas","skin",NA,NA
"MCP-counter","stomach",NA,NA
"AutoGeneS-log","stomach",NA,NA
"AutoGeneS-log","kidney",NA,NA
"AutoGeneS-log","liver",NA,NA
"MCP-counter","nerve",NA,NA
"AutoGeneS-log","nerve",NA,NA
"RNAAtlas","nerve",NA,NA
"AutoGeneS-log","lung",NA,NA
"TSI>0.9","lung",NA,NA
"Source-provided","lung",NA,NA
"AutoGeneS-log","heart",NA,NA
"AutoGeneS-log","bowel",NA,NA
"AutoGeneS-log","brain",NA,NA
"MCP-counter","pancreas",NA,NA
"AutoGeneS-log","pancreas",NA,NA
