tissue,setting,cor_spearman,RMSE
adipocyte,0.8,0.8143325199058038,0.307258023424876
artery,0.8,0.7089731157875095,0.25933297824277063
bladder,0.8,0.7102460566217234,0.2552281161983261
bone,0.8,0.8900146823856323,0.23666183203356014
bowel,0.8,0.8500162859350079,0.27981334745178893
brain,0.8,0.9394048941338371,0.17065203602620915
heart,0.8,0.85929266792654,0.1832341881320897
kidney,0.8,0.872038553920276,0.31436914106139596
liver,0.8,0.8973501473603523,0.17038957477525807
lung,0.8,0.7435218165709973,0.35328022038633256
lymph_node,0.8,0.8275178487636704,0.28221548343987035
nerve,0.8,0.8176900484124016,0.3589811473078619
pancreas,0.8,0.8208330582433992,0.303015960652999
salivary_gland,0.8,0.9042296234113024,0.254380117618646
skin,0.8,0.8605477725634461,0.2124203273282346
spleen,0.8,0.832531559202961,0.3426422006175556
stomach,0.8,0.7747627610105985,0.33296967485198437
