tissue,setting,cor_spearman,RMSE
adipocyte,0.5,0.8464037708859484,0.29272650121223137
artery,0.5,0.7426617103287735,0.25259612670684595
bladder,0.5,0.6641623878662299,0.27188961966837316
bone,0.5,0.8776525790607772,0.22654884187003985
bowel,0.5,0.8148807368778352,0.27987496733540984
brain,0.5,0.9433572199644495,0.16784098359859148
heart,0.5,0.8847551066410376,0.20247098433556768
kidney,0.5,0.9004439099527812,0.2812116781628151
liver,0.5,0.8921378681071546,0.1753791896634058
lung,0.5,0.7468403890413857,0.3316785949390914
lymph_node,0.5,0.845135868346823,0.266819016881545
nerve,0.5,0.7994887951184022,0.34528527443304935
pancreas,0.5,0.8313001550034756,0.2791099113256334
salivary_gland,0.5,0.9163308046630187,0.24393128723366705
skin,0.5,0.8589680562095303,0.21927270537487079
spleen,0.5,0.8664383320649575,0.3160560509823283
stomach,0.5,0.7120745422293678,0.33550785708378505
