"miRNA","adipocyte","artery","bladder","bone","bowel","brain","esophagus","heart","kidney","liver","lung","lymph_node","muscle","nerve","pancreas","pleurae","salivary_gland","skin","spleen","stomach","testis","thyroid","vein"
"hsa-let-7a-2-3p",0.567537330041137,1.60346969620268,1.35888245897642,0.290788735640019,0.578553568067208,1.15144168927031,0.708621755817129,0.805646329887899,0.798455492430976,0.625281480035962,0.836586408401917,0.454265615215241,0.309928963115978,1.69512804232527,0.096980913701691,0.781305622370756,0.413662480518429,0.833203281512228,0.193235739975266,1.21113205385008,0.75989578478354,0.745762371969592,1.06804090936374
"hsa-let-7a-3p",152.394547517147,203.009550724199,158.937120963056,128.504419479682,176.333047449888,161.968687717534,171.914190503994,209.920289482593,270.884477917646,160.280794783643,187.942717521646,94.4566117124933,239.14321449648,158.168854361327,199.120374722597,139.968723637482,219.359749932635,195.959495504728,134.504447090457,211.194276293544,129.521755615808,156.612116975763,134.743976776908
"hsa-let-7a-5p",58179.4164800836,41796.0236514049,50888.0631598767,25516.5034526316,33459.4610749553,52940.4649006664,62324.3582645883,53401.3768020316,32751.8799023149,37968.8472011628,91416.4185543672,41152.0883413711,50061.62426982,60964.0412848551,77675.4307814374,50379.5966340547,111859.237404315,150969.985423111,44295.2246631717,55795.4222803714,61879.688945117,31223.7278051957,49067.6930821847
"hsa-let-7b-3p",34.1000387053479,29.1377613755468,18.2857419318981,16.3707614480036,24.2394182221943,30.5700677381076,30.7363831933753,24.2314151978588,33.5507393025182,15.6695780762497,28.1282273357174,23.0518752481992,20.0910476593098,26.2124280889505,35.5460146373934,21.6843302903953,30.285254101452,47.4917211862653,18.4724852957498,29.0624615574329,30.6243544694699,19.1983963510595,19.4153420354251
"hsa-let-7b-5p",28432.1304772085,33958.7320606276,15998.2869815934,15752.214629638,18777.1291421685,22571.627508642,31432.8293030746,18836.7974233641,27635.735980636,13209.6643459166,55890.8166074562,20209.514908369,18123.4845155885,25926.8802629149,58708.93316492,23131.7639778039,41530.3202600756,58666.3874628006,27324.087609437,35611.9014492455,40193.6993936159,12766.3358028433,33563.3456748051
"hsa-let-7c-3p",3.74671164603868,1.67997106522784,3.39968365124409,1.39158714636305,1.65645188741336,4.36287772453044,2.90785486809498,7.06010562549488,3.29353976629969,3.81834703848958,2.30995283049647,2.28079548861559,3.65018162122375,4.40373883652146,1.8638612926283,3.22660583745542,6.01285539285242,7.21097024845038,0.410317299020214,2.80152972635102,6.26497749811136,3.41112201691883,2.44407672953772
"hsa-let-7c-5p",10175.38757019,6030.37008365108,8573.18855330542,2613.13638334368,3825.87453089838,10044.2103083885,10707.0596454662,10347.8686703296,5511.41421756861,7508.52801494568,11330.8482285742,6488.51749715737,5987.25519961897,9966.64196284919,5040.48370069759,8353.34839525787,20699.7079169323,20140.9514087372,1980.77801630951,9263.60985869089,20370.6350016628,5750.54802742265,9840.79304617702
"hsa-let-7d-3p",40.4538272819953,36.2561783032692,39.3713681553982,49.0871853928816,39.4760196876078,37.491732090973,44.2831458683495,41.7500976108822,45.8928183780314,25.7167929367796,41.2793173849491,41.3011132318111,66.4774765927375,34.2842108247237,21.3130910712643,41.5007938485169,31.25381953416,27.468615899613,49.5011474015813,33.5411623602568,23.1535606880391,39.2146262097463,35.7043208611829
"hsa-let-7d-5p",4082.85391073233,4550.55064824632,5901.82348077827,3253.04017183911,3342.61339909636,4600.90426032507,5016.14875470935,5196.14094176227,2609.21513588372,2537.53454713196,7870.29207222599,3340.11997084649,7218.62874699644,4799.36477951171,3409.00322693544,4203.61874329443,4151.3522126893,4858.77338854726,3946.21919635605,4757.05800158493,5570.12313144179,3405.0705504609,4534.68563385756
"hsa-let-7e-3p",5.34772827501606,6.33311683490844,9.30088515486485,2.16600558569748,8.01481213955162,10.0279476237727,7.30919609200595,8.18065528964764,8.25496816644302,3.0084635800474,4.99717082280341,4.31614792974898,2.04096280858223,6.95727835708421,2.96934435367883,4.68838793577128,6.33546127295825,6.11048034668744,3.23814977149309,10.2830555833492,8.07607422511983,6.96794263435303,4.14693095188384
"hsa-let-7e-5p",3395.74970951089,3083.74150479085,4981.79908188694,763.40940153302,3147.3612115729,4919.6617732212,3821.60663039929,3745.87713204314,1978.96972408421,1565.01236024414,4919.89591156968,2627.24662978863,1372.01264110219,3806.27244666559,2176.9919659091,3009.17847380511,4796.23265330142,3758.39750239384,1761.06151699909,4163.06109673794,4579.60983169098,1724.6078333558,2489.80945676677
"hsa-let-7f-1-3p",33.0763005204225,35.6839918625923,46.7303093641928,42.7561685113094,36.3867925187707,35.1498365597835,38.4347643131421,46.4860748555089,28.7100688297577,29.4315841589513,35.1929995757168,23.7905606971774,68.2820516981229,32.5355369190565,22.5203192253294,27.708042921236,28.4857640670854,28.9213242610704,22.5473940578723,43.7355685722066,18.0587420596408,35.8439670591787,21.3930063954466
"hsa-let-7f-2-3p",13.3387536384638,24.4711139759063,19.6825320988253,17.3810330548558,18.8104176510872,21.6451302469742,14.1114355378072,16.9326749541486,32.6073323111629,19.4711456575493,14.6357717398616,15.4531282188139,17.5682047183289,15.4590137086313,18.4837161247137,13.5559020509737,16.3126315392095,19.5883991017552,18.7811568751329,18.149660230643,16.207088622002,28.2874320046743,14.7904361552344
"hsa-let-7f-5p",19295.0611180077,13212.3362152043,27372.7655903379,13841.6265082141,15676.9524329352,22958.6801179821,27716.3703273857,30722.0691588653,16263.8847222772,22602.3494574108,32450.9614478697,18090.0616703634,36563.832993075,23381.657429956,25218.9647682017,22586.8458297576,36364.9477305423,34670.8838871085,22915.966946954,24723.569377968,39378.8591473236,17462.7895261527,16995.4147389064
"hsa-let-7g-3p",52.7350687228121,37.8237605884092,48.8828015971014,48.3200792130074,50.1110742390553,53.215338548707,41.1939810413734,51.1022088461286,51.8960896551204,54.9510999976361,40.4034883224414,78.108260682562,49.1066835937427,46.0528161189485,50.5134858312826,48.1653448179956,55.2953094147202,45.1631715849036,60.4352475713075,50.3812887693173,33.0858914576267,77.530952072523,38.1507679277435
