"miRNA","C10","C12","C13","C14","C17","C18","C20","C21","C22","C23","C2","C4","C5","C3","C24","C11","C26","C27","C28","C29","C30","C32","C33","C34","C35","C36","C37","C6","C7","C8","C9","C25","C38","C39","C40","C41","C42","C43","C44","C45","C46","C47","C48","C49","C50","C51","C53","C54","C55","C56","C57","C58","C59","C61","C62","C63","C64","C65","C66","C67","C68","C69","C70","C71","C72","C73","C74","C75","C76","C77","C78","C79","C80","C81","C82","C83","C84","C85","C86","C100","C101","C102","C103","C87","C88","C90","C92","C93","C94","C95","C96","C97","C98","C99","C15","C16","C19","C1","C31","C60","C91","CT13","CT14","CT15","CT17","CT3","CT8","C104","C105","C106","CQ1","CQ2","CQ3","CQ4","CT1","CT2","S4","S1","CT9","CT7","CT6","CT5","CT4","CT16","CT12","CT11","CT10","C89"
"hsa-let-7c-5p",179.243936406589,296.173367730706,309.103831342548,552.639112017943,315.788583649432,566.127634367382,468.802549309185,1265.37262475652,494.13729644417,231.905325239969,171.084729728794,264.945781392214,332.644138683813,213.6418319551,97.5476930753982,144.300541746594,503.943555389335,186.62110185325,646.075198787889,133.820273301962,273.948269027441,241.596639353346,139.957734381461,501.84390995673,223.189300537333,82.8750899743066,325.524264711503,144.344208514343,104.426394389037,154.601074194686,119.503775436806,508.578537254665,234.535865280981,300.162033491506,82.2195471544247,167.004452964378,99.3838966212537,185.219679471076,372.855155498928,263.518289942652,119.424609668666,138.262481321847,190.707990351161,406.093895060833,483.165343016987,150.248325444838,298.822480440162,66.0818043060577,241.082605897763,286.15143240346,188.246436530104,299.157783466634,217.396329251817,180.922258092524,376.08716366843,259.806217665204,123.039043302723,153.642212431996,273.536042869064,259.506857128048,205.070991863257,204.87079127999,158.186688329671,252.743448316574,191.622251063959,284.581903197593,311.645407158556,211.141573124936,157.18478463673,220.44183084166,72.7046419945214,454.259761213081,905.953259596768,452.241810588057,227.275050725589,319.798315468324,403.346252806207,622.139064394248,140.889992768049,201.299064792872,114.221150344409,131.821474934142,163.734787572955,389.028907077867,279.11634253415,161.874576927629,136.766572179107,169.680082821662,160.302914291447,80.8713924309623,270.871106970704,1516.27535770486,699.442933853688,112.594446132516,182.196474468972,378.955166948862,338.089818519249,349.208521161997,108.126250779504,309.518848679885,221.685686396623,226.388695305473,463.626979148804,387.602760687775,134.899633545328,474.690695805891,363.786128388821,157.916122408678,256.681130745438,207.952087783989,120.575559061264,262.108331208468,193.301164784032,235.743597385318,234.741767540078,1073.87895995161,393.141346850585,629.41397923477,226.672465185191,356.251725920694,176.923669001031,275.156726554512,232.901618962424,439.186802234876,214.549344870349,308.444525025383,300.789247739089,129.791622340927
"hsa-miR-1-3p",579.690609043374,114.622939719156,105.676523535914,150.148849649503,335.612623825479,79.9734204682547,189.719639849027,76.6326109527582,59.0659742105276,29.820534955951,527.301145943062,630.56061700242,180.118370024645,483.96718617684,172.390319659109,1212.77309243205,246.435674606586,1344.34809675591,21.9008541961996,516.839430102632,455.46411476445,487.135782612588,127.903209160686,150.410603694418,819.330660791576,603.950091003725,55.507437877099,209.109175755647,340.826388147261,276.017965964434,421.809163078541,43.2420837513484,2082.19833152997,1209.12511052163,622.252481873259,498.920820997995,401.11698816506,539.218190460178,431.630352424868,686.857263489452,268.553817681314,182.293763835112,207.71650677044,1509.26235014735,630.834058242092,658.261678202148,315.775254000891,333.077407927445,322.967559969935,253.90460796412,1843.99717087093,675.123400471017,1916.02654942277,254.052049330858,411.468186034449,385.702364931825,1136.91187641894,1007.82138808347,612.399572961028,253.821547890613,1259.42141791898,325.592266771075,1830.84979087494,713.740947459871,1033.92115292602,597.453462592915,290.372062562552,352.649184814262,459.02845270493,637.75624017084,563.067552070125,42.4251713205838,49.3558071208893,308.013341265379,635.91860219577,1902.74347556736,287.181329773719,409.044188007242,895.739628818001,177.505741937429,719.579093371714,1652.03512209735,201.613730966698,1342.80507244982,202.359348337258,332.721416779654,1634.73920720272,901.517657426394,170.578742130642,886.173021701304,180.198151671189,342.967045195148,630.152325453229,583.047209430392,490.216751850921,574.447911803434,620.497192777204,232.877490053127,414.265404033933,1788.58215478036,1663.05531678777,503.85673411998,1238.81441561767,510.552023486585,459.80774146917,624.451067837953,214.977898021203,609.76813272565,200.695833095604,1112.67148626698,119.332512060632,738.23959952983,298.26577576891,734.462556778036,273.798114933891,812.674977473528,603.550943469475,673.723402346619,260.812850962541,209.457447976174,1318.18622951361,534.397524808321,376.90641963349,1377.76852172926,1164.79384794548,202.817461203781,219.853988307286,662.364977637192
"hsa-miR-100-5p",30.4232989657577,40.7719181551362,18.4933916187849,37.1090312821966,15.0774390071347,6.83983201373231,4.96462608950726,7.47635228807397,28.0923535879339,90.9092036521226,35.0573621619705,9.30843994481429,17.0537605661632,5.50469901277069,32.5859750575145,17.0242212172948,20.5626686128731,14.6051297102543,52.76114874539,8.27510523952064,29.6944741488587,10.565910467803,20.5083481028762,43.4836342434098,21.9081521999836,7.99821196877292,7.16225004865793,36.0860521285858,37.8071333656136,16.1268923934276,13.3370023959589,14.8442974071793,8.31032593515288,16.1833188788745,3.73725214338294,56.3988785070632,4.77520224006024,23.9328799316559,22.0406988472273,34.9375447878834,6.66837922007778,15.9533632294439,3.6143097390967,6.75046719698673,7.52984950156343,17.011694583642,15.6395305384184,10.830509494342,9.56017230284234,5.94844334317914,5.62311147815655,6.98253032161362,4.32955875999394,10.4269837218433,8.73605490519001,6.72135488487095,4.79709652497444,3.98892046600528,11.8611359482917,8.06947117571314,5.75482545973522,11.2273195438302,12.2116957395314,10.6447024668967,10.9370010380524,6.13945730248613,53.4560966771386,5.09020185932826,7.94325442284737,16.6371193088045,8.18320645825782,38.2861302161366,80.0660871072204,17.1118522925211,25.3991157681742,5.19813516308937,7.36362384035178,18.7784756969392,35.1815893671667,9.4417947839058,6.65228508821215,38.8459418888053,10.9971125981835,34.5675445015506,11.164653701366,17.3837594160156,15.5922802158592,15.4925293011082,19.5240728944711,4.09475404713733,35.580526763101,0,12.6379097082598,6.10977614672566,9.47060882140694,24.0606455205627,10.2375794381752,14.0028093001418,8.34491461363318,18.8271805766354,22.6142509578089,6.3060917912388,17.5912428850727,12.503314860896,11.4898741505484,46.1347117634314,9.9989720009862,20.9882130741246,12.4411772555187,18.227761836758,18.2313560092633,7.08400895158023,6.54729751687851,6.75824815438517,8.27550513253928,10.5353483892411,9.27425219256816,14.5863318318508,31.6783387260984,43.1292806082056,6.11890159588545,4.85570693919727,9.4528290943298,8.126248653631,4.31826011921253,21.2603994273514,17.2138424910924,8.71857539172263
"hsa-miR-10a-3p",16.0989957027134,7.4363875880437,23.7772177955806,13.7017961657341,12.843744339411,5.7875501654658,18.440039761027,3.73817614403699,8.64380110397965,22.2930212777498,22.4511189187961,21.202557652077,16.0956841298619,11.4557249725228,25.8585479488663,12.4844288926829,8.22506744514922,22.9895560254003,13.9369072157634,14.5405420637291,27.4618069196212,14.9815148424072,15.3421230082585,16.3954686491545,15.4041695156135,15.1455503238466,32.9463502238265,26.9695758013641,39.4936969358269,17.6775551235649,30.3787276796842,20.6529355230321,30.1634052461105,24.6602954344755,38.6182721482904,12.057004062464,20.4438345902579,23.7247679322502,35.5100148094217,33.0791647459747,37.5854101495293,23.8236890893029,33.5918199280752,55.0696008175233,18.8246237539086,13.6353277197131,16.8333878314274,17.4229935343763,19.1203446056847,25.8287671480147,24.409415734725,17.6745298765845,39.2284263405511,10.7087940927039,28.828981187127,11.374600574397,23.4668775951452,17.331171679885,26.824415144598,14.8551628461992,12.8376875640247,13.6728742959516,13.9077645922441,26.6117561672419,27.2675916291169,23.7151585997994,14.7277001049259,23.41492855291,11.4566169560299,22.1828257450727,30.5296548635003,9.31284248500621,12.0647528517729,36.6682549125451,20.6955758111049,26.668693445415,20.4378131079151,24.0854362199873,35.1815893671667,20.0166049418803,18.9660894004346,13.2458293653631,49.8943071584254,27.5100041658173,13.9558171267075,11.7760950882686,15.8150270760857,37.9935837622417,23.1206126381894,45.7247535263669,48.2058749693626,36.1017942310682,23.0968694668196,13.3105837482238,21.3464516292029,39.0985489709144,15.4812176869966,18.5267938432645,25.6308091704448,20.7098986342989,20.3033056044562,41.6202058221761,27.7550721075591,14.5872006710453,29.3630117180682,26.40325042461,26.1737796496403,26.1343614721071,26.8467509198035,18.227761836758,35.6340140181055,18.8906905375473,14.6534753949186,42.1396649626369,19.3767925054578,31.6060451677233,35.9377272462016,23.9436013088872,27.9031999141799,16.4394118910201,25.5245609428364,26.706388165585,24.1348827940335,31.0274948593184,19.091255263887,16.1983995636963,17.2138424910924,14.1471223337386
"hsa-miR-10a-5p",698.595002501211,335.6631500948,552.159835475151,490.410121098567,400.668981022931,142.058049515979,184.045781461019,229.897832858275,531.593767894749,519.398443795885,583.969210807617,423.01688193656,298.345002264226,230.4534802914,672.112014573379,452.682148939878,323.941117839723,533.763397836794,584.354609689508,544.14727739305,602.373618448277,500.540295892636,422.847696380677,518.239378605884,408.039334724695,569.404622287536,632.426679296496,786.865862993321,1236.95383178723,681.51626989533,901.623701656967,498.897473728243,635.893828963921,554.856647275698,346.318698620152,452.187474673238,908.780676311464,564.81596638708,689.996322245143,697.635867732522,582.573857317704,560.069405108344,728.389715655605,611.094925200904,451.790970093806,435.681185710832,403.404379307754,352.383968330403,351.440247045791,373.499626758564,790.302758657275,328.615333260941,712.409214144457,397.916243655209,349.005393462341,249.46567168848,738.4935623312,445.933798303073,595.429024604241,261.340827849801,352.815068569921,423.080972117006,485.867190673765,442.301034554004,528.272132331132,593.601254089395,310.736289868129,333.713633897561,473.08190283766,515.75069857294,460.462732631969,520.484418884236,402.524026963697,355.682072651688,561.790812472358,501.28103442314,530.932306693119,382.101157659459,593.014324960986,361.054232536558,410.177067779549,638.856539390974,1060.61041502481,482.361277232054,226.084237452661,376.274276391822,406.290273053244,709.336520143599,396.133163200979,844.884251726003,797.692454850167,270.763456733011,369.114121479174,360.694998947769,463.759178000641,831.094797356103,332.097089092025,444.643052238348,661.394089663384,440.556025493267,462.684273246265,469.803838447291,449.553984840746,479.988364937728,734.926394740635,426.994501490466,387.019033920525,1002.6916986422,463.10645336661,411.680669776535,774.003932393268,316.84840037977,547.270932125115,597.111101640384,439.106375996078,252.121785590804,617.462321758327,353.649743470345,795.077061084044,518.905201218905,477.274324479065,768.010980883034,407.879519219167,590.630527143453,530.236887269622,469.416120689615,500.71141842511,555.439053021726
"hsa-miR-10b-3p",2.6620386595038,8.71852337908572,0,19.4108779014567,12.2853206724801,5.26140924133255,3.54616149250518,9.34544036009246,7.20316758664971,16.5026261406719,3.48172432430528,5.86086959488307,5.17361275602704,4.90959641679548,3.15348145717882,3.56697968362368,5.37792871413603,5.40930730009419,21.9008541961996,1.53680525876812,5.35840135017,2.68090265600971,1.72207503153922,29.2267049832755,5.13472317187117,1.36139778191879,5.01357503406055,4.36831157346039,5.76242553156193,4.49692191739808,1.90528605656556,12.908084701895,4.30905789230149,6.55039097478255,4.36012750061343,6.67619233210818,1.34302563001694,4.99468798573689,20.2039739432917,5.20346411734433,8.48702809828081,1.70169207780735,1.91345809716884,4.97402846093759,4.1832497230908,1.16874237597541,1.55201448091175,2.98231420858693,5.40357564943263,6.41805729132486,1.27797988139922,4.36408145100851,3.01757125696547,3.09991407946693,3.494421962076,3.36067744243548,0.129651257431741,2.06323472379583,5.65684945226217,3.11775022698008,2.98808245024713,2.11207001319577,1.35685508217016,3.27529306673746,4.34483602881533,2.88915637764053,3.81829261979562,7.12628260305957,1.37479403472358,4.15927982720113,10.7011161377218,6.20856165667081,16.4519357069631,19.5564026200241,2.63398237595881,3.39008814984089,2.55472663848939,8.16455465084315,3.76361188578992,9.4417947839058,3.82152547620698,3.4388210852385,9.57156096508568,4.60900593354008,26.5160525407442,3.36459859664818,3.34120290339839,7.37739490528964,6.16549670351718,2.72983603142489,12.6253482062616,0,4.79368988933992,3.7095069462263,5.86275784182334,24.0606455205627,4.24485001095069,8.83254125085866,2.86111358181709,7.53087223065414,3.63148555526858,16.3958386572209,4.30008159412887,4.86240022368176,2.34052991955616,10.362566026863,5.88174823587423,2.42171689316823,7.3664865328729,4.11236090219541,5.38653700273688,1.93200244134006,0.83140285928616,4.57175610443703,5.24788130356149,6.5391817588393,5.94131781086398,3.30256569777754,2.13377411108435,2.7076678408739,5.24477279647324,2.15809197297656,3.21798437253781,7.38749877602818,0.909107393518427,3.71213323334707,4.52995855028749,1.56276351361066
"hsa-miR-10b-5p",75.1709011945596,196.679630345846,235.130264867409,448.733824427793,246.823260783464,58.4016425787913,54.2562708353293,117.752548537165,313.337790019262,337.869556248494,72.3958540536582,97.0491053505638,105.196792705883,75.4292540398579,138.753184115868,73.6094898347796,140.458844063317,108.997542096898,433.03961706122,36.6468946321628,100.693292038611,63.8685632755254,46.6525781271535,337.176377002178,93.2808042889929,62.2839485227848,99.5552756763453,101.610725730492,152.493456140115,126.689145052215,62.2393445144749,217.501227226931,97.8771721251339,86.3110340206642,85.3339239405771,261.367947568952,55.0640508306946,116.542719667194,330.610482708409,133.060011000662,100.025688301167,32.3321494783397,40.1826200405456,91.6642387801356,77.8084448494888,45.3212321350463,38.442204834891,60.4311037003141,87.288529721604,59.7975093972219,48.4354375050303,77.4624457554011,45.5259663550878,65.2391008542357,62.025989826849,57.3900301708212,26.8378102883705,41.1271454943303,88.8672801048928,62.3550045396015,44.2678881518094,63.4732619755151,51.8997068930086,50.2211603566411,51.3889226856433,51.6436702503245,58.0016831292763,106.69063097152,51.6311537485079,112.30055533443,87.8121000713051,280.420034826298,275.295724163183,112.449315065138,48.1642491603897,55.3714397807346,69.27817531433,126.142369355527,55.1450958917914,120.477301442638,87.61200999156,104.310906252234,154.774177307768,66.8305860363311,136.767007841733,82.058821329364,63.4828551645694,88.1598691182112,90.9410763768784,67.2222122738379,275.462142682072,90.2544855776704,73.6485082998587,100.15668754811,96.8106679521598,574.949175251779,67.4182060562757,145.413788886088,77.3692797749705,95.830349135074,83.3591002459379,99.0056411224492,71.146804557405,58.0014883824896,114.260415163787,92.4113764861348,72.3455033012531,68.1107876203564,115.080889613548,95.3623149752341,159.110016080843,53.8814014195951,33.5678904436787,63.6070414530369,88.6084573947498,49.4071510667858,57.964076203551,46.7863473851819,61.7153127513627,68.8521250965077,69.9303039529765,70.1379891217383,65.3653075671742,114.506231028437,78.8650663877235,76.2674646124033,127.744831118107,52.9694580402771
"hsa-miR-1197",3.29585738795708,0.512854316416807,0,0,0.279211833465457,0,3.19154534325466,0,0.720316758664971,0.289519756853894,1.44071351350564,1.03427110497937,0.191615287260261,1.04142954295662,2.3125530685978,1.78348984181184,0.316348747890355,3.51604974506122,0,6.14722103507248,2.679200675085,0.788500781179327,3.44415006307845,0.712846463006719,1.54041695156135,3.91401862301653,2.50678751703028,2.08919249165497,5.48133160319306,5.89251837452163,10.5849225364753,1.93621270528426,0.307789849450107,0.770634232327359,4.98300285784392,2.98933985019769,6.11822787007718,6.86769598038822,1.83672490393561,0,0.606216292734344,6.8067683112294,3.40170328385571,1.42115098883931,0.836649944618159,6.7527337278579,2.38771458601808,6.90641185146446,3.94876682073923,1.40884184443716,1.02238390511937,1.09102036275213,0.918391252119926,1.54995703973346,1.747210981038,0.517027298836227,4.53779401011095,6.73990009773305,0.547437043767307,4.40152973220717,4.31611909480142,4.66878634495908,10.0633418594287,3.00235197784267,0.898931592168688,4.09297153499076,2.54552841319708,3.05412111559696,3.36060764043543,0,1.88843225959796,0,1.09679571379754,1.2222751637515,8.65451352100752,0.678017629968178,2.25417056337299,1.63291093016863,3.10907068826124,0.377671791356232,3.25537355380595,4.71245852421572,5.29490606579208,1.72837722507753,0,6.3553529047799,4.45493720453119,1.84434872632241,2.05516556783906,11.6018031335558,11.4775892784197,0,0.435789989939992,4.58233211004425,2.40523398638906,4.01010758676045,0.749091178403064,0.64628350616039,8.70255381136032,0.376543611532707,1.15547267667637,1.89182753737164,5.86374762835756,1.04194290507466,1.70220357785903,5.39421245233967,4.41131117690568,8.77872373773483,3.27399401461018,1.55602844947934,5.38653700273688,1.71733550341339,8.72973002250468,4.37298409989629,3.53222780047408,0.726575750982144,1.15928152407102,0.275213808148129,3.77513881191846,2.12745330354378,4.72029551682591,7.82308340204004,1.00562011641806,0.369374938801409,2.27276848379607,2.69973326061605,0.905991710057497,3.37227916094932
"hsa-miR-122-5p",1334.06165964847,12739.0447926353,3833.41589126528,38400.9964789906,8222.23007189078,5573.41080934357,25255.7621496219,9614.58904246313,10068.587652619,23160.7119890409,2083.15168106969,3470.66907127576,4286.62559129929,2327.44625285905,797.620576569096,1151.16162516946,7770.47429443078,1750.04614426297,29643.8016479288,446.382819777571,6440.35188945849,1158.78074802114,1586.18765632322,6745.66607943258,2080.76098668126,535.199503016826,3484.43464867208,3012.23571978616,11279.8777045504,3217.00489994278,524.482911682352,36309.1514579606,572.796909826649,1149.01564040009,884.483007267296,9500.22168858995,228.31435710288,2191.41935374206,2472.84396233197,1578.13633158886,1991.42052163232,671.317524695,686.081031062649,3835.33123113009,2556.8022307531,350.362992264627,798.451757564445,1604.32808031405,3318.41893824965,1059.91868096489,503.012881318731,5950.42505845011,1220.80437156799,5453.31248652404,33526.3579096477,2013.8213289671,319.979303341538,469.729772117518,2564.56007103524,5094.7706650298,540.732253774352,1892.52589340306,1943.58183395191,1122.60669862426,828.964749911558,377.155288797825,23031.2137887748,7641.41103122359,944.02523717686,1100.82272759923,2610.12812147431,11667.9568734367,195161.635721707,5901.14449059226,1087.45843807442,1284.39139703639,750.638797603206,5981.76096494023,865.958004330446,4404.40843079637,1104.56240060442,5364.81562045985,1857.49377792652,39638.1711856218,4010.90184221573,7773.53121326711,467.100165895095,6716.38032177569,6125.42097494432,1652.57448752384,11899.9645638655,10415.3676356632,31009.0725241701,1177.44114599042,3658.51122042192,2302.80428169719,2974.14167531963,7262.71861439507,1259.24761519725,17322.5123049507,2794.42813477917,6461.22164930328,3089.80408363588,2428.42159742735,4177.63313096052,39190.656901759,6696.66445395461,1523.05811606172,3131.08417587245,9516.22541745867,2138.86953908675,2255.93485067141,509.961728814649,4672.1359667301,5090.24302286605,5311.99531543046,1413.5989084141,3803.17961479899,1093.14889075552,12565.8996398042,1025.35308171052,708.663451626179,1779.54535801341,2786.56453831783,932.744185749906,5464.26011948688,5538.93131805485,656.196174293992
"hsa-miR-1224-5p",0,2.56427158208404,0,8.56362260358383,2.51290650118911,3.68298646893278,1.77308074625259,1.86908807201849,7.92348434531468,10.1331914898863,0.120059459458803,0.172378517496561,0.383230574520522,0.148775648993803,0.420464194290509,0.324270880329426,1.26539499156142,0.135232682502355,4.97746686277265,0,0,0.157700156235865,0.156552275594475,0,0,0.340349445479699,0,0.759706360601806,0,0.930397638082362,0.105849225364753,2.58161694037901,0,0,0,0.199289323346513,0,0,0,0.371676008381738,0,0,0,1.42115098883931,0,0.259720527994535,0.119385729300904,0,0.415659665340971,0.313075965430481,0,0.654612217651277,0.131198750302847,0.28181037086063,1.3104082357785,1.80959554592679,0,0,0,1.28377950522709,0,0.222323159283766,0,0,0.149821932028115,0,0.545470374256516,0.407216148746261,0,1.38642660906704,0.314738709932993,1.0347602761118,2.19359142759508,1.2222751637515,0.376283196565544,0,0.601112150232798,0.816455465084315,0.16363529938217,0.377671791356232,0,0.127363743897722,0.407300466599391,0.432094306269382,1.39558171267075,0,0,0,0,0.341229503928111,0,0,0,0,0.601308496597266,0.501263448345056,0.499394118935376,1.07713917693398,0,0.188271805766354,0.165067525239481,0,0.781833017114341,0.694628603383109,0,0.567811837088386,0.294087411793712,0,0.491099102191527,0.222289778497049,0.414349000210529,1.07333468963337,0.10392535741077,0,0.201841588598519,3.63287875491072,0.869461143053265,0.825641424444386,0.164136470083411,0.193404845776707,0,0.539522993244141,0.804496093134451,0.369374938801409,0,0.674933315154012,0,0
