"miRNA","SY16","SY17","SY18","SY20","SY21","SY23","SY24","SY27","SY29","SY33","SY34","SY36","SY38","SY42","SY44","SY45","SY46","SY47","SY48","SY53","SY59","SY60","SY61","SY63","SY64","SY65","SY69","SY70","SY71","SY78","SY81","SY83","SY85","SY86","SY87","SY88","SY90","SY91","SY93","SY94","SY95","SY96","SY98","SY99","SY103","SY104","SY105","SY106","SY109","SY111","SY113","SY115","SY117","SY118","SY119","SY120","SY121","SY122","SY123","SY124","SY125","SY126","SY127","SY128","SY130","SY135","SY136","SY137","SY138","SY140","SY141","SY142","SY145","SY147","SY149","SY150","SY152","SY153","SY156","SY159","SY163","SY164","SY165","SY166","SY168","SY170","SY171","SY173","SY174","SY180","SY181","SY182","SY183","SY184","SY187","SY190","SY193","SY194","SY196","SY197","SY199","SY204","SY205","SY206","SY208","SY209","SY210","SY211","SY212","SY213","SY214","SY215","SY216","SY218","SY220","SY221","SY222","SY223","SY225","SY226","SY227","SY228","SY230","SY231","SY232","SY234","SY238","SY239","SY240","SY241","SY243","SY244","SY246","SY249","SY252","SY253","SY254","SY255","SY257","SY258","SY259","SY261","SY262","SY263","SY265","SY266","SY269","SY272","SY275","SY10","SY100","SY5","SY6","SY13","SY28","SY39","SY51","SY74","SY75","SY80"
"hsa-miR-4449",0,0,0.0987434918324302,0,0.533355925578224,0.130114456778763,0.366187138314263,0.160415809611647,0.399976834119982,0.248188306579467,0.271387099486347,0.32305080909774,0,0.244895794153891,0,0.118210952044599,0.102660702983976,0.184496347794496,0.118440609086436,0.107586735566217,0.119803157682207,0.143657491378959,0.270124113628395,0.0796241511321457,0.370465641355722,0.775186823117145,0.27718591593771,0.179428049510897,0,0.146387651849081,0.212719393663248,0.251750715996084,0.241297154282238,0.0955084482469058,0.287862748634608,0.0916957590884933,0.216825590892646,0.110961859220794,0.225152643127363,0,0.103602985055637,0,0.126342662349948,0,0.104179153671621,0,0.121797570590135,0,0,0.103678005888975,0.317121311186626,0,0.251328085770423,0.0972198200127223,0.0855963869816882,0.109918107772035,0,0,0.128568674081843,0.441726617637653,0.370065238276247,0.419794986265816,0.40284937044965,0.441056378347855,0.0941666118891506,0.223153746815135,0.104219045277691,0,0,0,0.10135180711041,0.122994100877814,0,0.331816097656242,0.106537001613826,0.220963698920513,0.102291812594063,0,0.0981372540813797,0.0963118682130269,0.0993003555704871,0.0908068636797969,0.0918233040321394,0,0,0.233727844123118,0.142308437776755,0.0720090564010908,0.106066815236766,0.277608790236103,0,0.377370739060148,0.148664339812643,0.0834392547292961,0.0945525582955357,0.177305524109663,0.099006540018882,0.202945286462572,0.307971250452041,0.402073313837629,0.301660115262743,0.122331569375327,0.0971529390547468,0.092770744974414,0,0,0.0749929189080586,0.177236594613691,0,0,0.155126599638621,0.283624898761454,0.239841105601913,0.337311856839223,0,0.243444588823479,0.0847102097950582,0.0983399838876903,0.181104909290757,0,0.338698446336311,0,0.152275940107533,0,0,0.253659817185504,0.0775325819856569,0.235290819415074,0.0836554916987712,0.0773583085438862,0.0900121699409406,0,0.228426396039278,0.261260071733262,0.174479787673085,0.462365587771236,0.283651793349917,0,0.0764817408299467,0.162127536384914,0.101321973070463,0.195134882725255,0,0.0996209085675902,0.174202594560947,0,0.349169549774949,0,0.096692450592293,0.256351959891495,0.10061073451548,0.100719523023177,0,0.103332177872178,0.093559177768681,0.784979221672985,0.457911304697214,0.076894127092741,0.148836069912035,0.305327153514123
"hsa-miR-223-5p",447.183554785498,442.716795625426,454.516292904676,382.340611084507,565.128700001956,415.585574951369,402.80585214569,523.91803419164,417.575814821261,446.987140149619,458.77989168167,349.217924634657,393.853199701262,391.221031160842,431.07023116056,430.878920202565,446.676718683279,454.967993661227,391.209331812499,438.953881110167,418.59223294163,430.39784417136,520.93435313236,431.881395740758,397.583726302961,423.916451270348,354.797972400269,370.16006614098,424.418841821989,465.512732880077,370.66354345821,380.898833302075,446.641032576423,356.342020409205,321.470724537698,344.592662654558,292.280896523286,335.32673856524,386.924817214373,359.270424889672,376.18243873702,328.012011485998,397.726701077635,374.155532705233,379.420477672045,317.554989078129,356.501489117326,276.801838743045,336.463153759687,372.307719147308,419.128666284991,313.240468190686,439.3214939267,316.547733961424,325.266270530415,264.68280351506,338.051207525907,348.903385272385,390.591631860639,367.295682565708,395.353029558457,410.699428230056,348.061856068497,385.593538770612,382.881443941286,338.412657045152,356.324915804425,332.399698221354,299.181550340695,365.12417219188,367.805708003676,309.330163707703,323.241651638286,318.101032286451,423.271507411732,309.680624037099,359.146554017755,464.097991189149,354.569898996025,450.161672027688,397.49932334866,316.098692469373,511.455803459016,466.983208324196,380.856059959498,391.572048187596,356.980716162989,369.766504619601,425.433995914668,543.928156335938,372.618217067732,427.561047355147,387.642266061466,331.337280530035,435.225425834351,441.668060557171,382.264251012903,454.495969032931,478.689980285956,340.636511483239,422.223607996086,447.488880774946,403.379002955309,398.079266685211,404.341496927042,434.050373142,379.464169674776,442.382540155774,410.393217120693,374.245271143493,364.082129351843,373.817616567597,375.751065442998,417.142329624506,396.238935862012,344.717537774046,383.821960581409,430.827469411971,343.646565379211,487.959593302981,391.450729353192,343.235232661196,386.628611933027,380.282743467195,339.348471152914,335.084618502051,392.39239742941,296.701723282408,351.185754151441,316.318123635951,351.857572299137,331.266167602883,317.055837702518,325.704222760801,369.373710503921,395.206986147464,367.423622985926,316.898598586773,325.506288972253,428.746269969905,426.666828599719,425.198909458331,349.769449950769,422.49227323515,333.946373773336,345.938662349867,326.560821427021,327.847280733728,348.672976835809,426.890101209313,357.168107529954,374.878064692263,542.021180448338,388.838985333008,508.961927061625,463.137740787061,524.30844387831,520.342558036578,429.317643661266,481.348257515015
"hsa-miR-7151-3p",2.85884506760581,3.95845133255817,2.96230475497291,2.1742428836196,5.7145277740524,4.55400598725671,1.9529980710094,4.7322663835436,3.49979729854984,5.33604859145853,2.91741131947823,2.18059296140975,3.46597578616693,5.87749905969339,2.81316226556816,3.30990665724878,3.59312460443915,4.52016052096515,2.72413400898803,2.90484186028787,2.75547262669075,2.01120487930542,4.32198581805433,4.06083170773943,4.44558769626867,4.31889801450981,3.25693451226809,3.40913294070704,3.59676984594906,4.5380172073215,7.76425786870856,4.02801145593734,12.185506291253,3.3427956886417,1.87110786612495,1.83391518176987,2.71031988615807,2.88500833974065,2.81440803909203,3.0816619718914,3.3152955217804,3.4515052006872,4.16930785754827,3.3664379549314,4.27134530053647,3.28977830411875,4.99370039419555,2.49780166216038,2.98301175757594,6.84274838867232,7.39949726102127,1.64354566643261,5.36166582976903,1.749956760229,5.0501868319196,2.5281164787568,3.21323484928175,1.97865813954094,2.6999421557187,8.50323738952482,3.70065238276247,2.6587015796835,5.90845743326153,3.08739464843498,4.14333092312263,2.45469121496648,4.16876181110764,9.2886143215548,4.52096564959272,7.05340990651384,4.2567758986372,3.32084072370099,4.17349980596268,2.21210731770828,4.47455406778071,3.20397363434744,6.85355144380222,6.4584555419721,2.84598036836001,6.4528951702728,4.66711671181289,3.08743336511309,6.42763128224975,2.97388917383178,5.71569874876685,2.2593691598568,1.77885547220943,4.96862489167526,3.50020490281328,7.40290107296275,4.92373455923767,4.90581960778192,4.75725887400457,3.08725242498396,2.26926139909286,6.20569334383821,4.45529430084969,3.04417929693859,7.69928126130103,3.85990381284124,3.51936801139867,5.8719153300157,3.59465874502563,5.2879324635416,3.20976712003826,4.98908474875863,5.09951848574798,6.55775400070658,4.20758237107987,3.08319341383057,2.63715219385655,3.40349878513745,5.11661025284082,5.2845524238145,4.43882303056773,2.59674228078377,3.21898797221221,5.90039903326142,3.71265064046051,3.87006248937329,4.82645286029244,5.62518926443018,4.64441617327977,3.29631976366913,3.35803874697771,4.48132343694391,3.17883586141193,3.64700770093365,4.01546360154102,3.79055711865042,2.79037726816916,4.44528265164617,3.50253807260226,4.52850791004322,2.44271702742319,3.81451609911269,6.90219363818132,3.0950487111025,3.4416783373476,9.16020580574764,3.95155694974805,3.70756277177985,6.01545239859853,4.48294088554156,4.964773944987,2.73314970253845,3.05523356053081,3.40073741437801,8.02547339916032,4.42207130812829,6.74091921253716,3.82734187488071,4.48010159646357,5.68326978296982,5.70710984388954,2.87825714613428,6.68550504857932,3.3833415920806,3.19997550310876,2.9769397467627
"hsa-miR-378a-5p",12.3381734496672,10.7058115585096,11.6517320362268,8.26212295775448,11.3528618444508,9.49835534484971,7.81199228403762,7.37912724213578,9.19946718475958,8.43840242370186,12.483806576372,8.56084644109011,11.9195752646229,10.0407275603095,10.2211562315643,8.03834473903276,6.98092780291036,7.19535756398534,11.133417254125,9.03728578756226,14.0169694488182,9.48139443101126,8.37384752248026,10.9881328562361,9.70619980351992,8.74853700375064,7.5533162093026,13.9953878618499,6.79389859790378,11.4182368442283,6.91338029405557,9.18890113385707,7.11826605132603,9.45533637644367,9.28357364346611,7.97753104069892,8.13095965847421,7.98925386389718,8.55580043883978,9.24498591567419,10.567504475675,8.56925429136133,9.22301435154617,8.46418685811323,11.4597069038783,10.0521003736962,8.52582994130947,13.0566905067474,10.4919723887154,11.6119366595652,7.82232567593677,9.18451990065284,8.12627477324368,13.0274558817048,11.0419339206378,9.67279348393906,8.31660784519983,12.3116506460325,8.87123851164717,15.5708632717273,8.7582106392045,9.51535302202515,5.77417430977831,10.2545607965876,10.4524939196957,8.81457299919783,7.39955221471606,10.0626655150177,9.04193129918545,13.0047245151349,12.4662722745804,15.3742626097268,11.0474994863718,12.3878009791664,10.8667741646103,13.8102311825321,16.5712736402382,11.5092989786426,12.3652940142538,9.24593934845058,12.2139437351699,10.0795618684575,7.16221771450687,8.67384342367603,8.9545947064014,10.7514808296634,13.3769931510149,14.8338656186247,10.1824142627295,8.79094502414326,14.4373911652223,10.4720380089191,12.6364688840746,14.2681125587096,12.4809376950107,12.0567756394571,11.0887324821148,8.62517467465933,11.8055646006616,9.97141818317319,14.0774720455947,10.3981833969028,12.1441173818433,13.0806750413924,10.4317431401243,9.85024424754908,8.54919275551868,10.2797224875941,13.3411148351313,10.9725412668676,8.2217097808469,13.0467453430269,7.67491537926123,9.2198574202721,10.5545347615721,11.19845108588,10.7581966439724,7.47383877546446,12.2245813771261,9.28814997449591,11.0076995059301,10.8556284050407,8.6797285861294,11.7381142803828,12.4993664470837,10.7382655941863,9.14884467430752,11.9998317901688,8.36554916987712,10.211296727793,10.8014603929129,12.7801876234827,13.6294416303436,13.1500902772409,9.42190853434659,11.5591396942809,11.9133753206965,10.9186440641672,8.79540019544387,9.48446087851747,6.68725022265055,8.97620460536174,11.3517408167101,9.86246994819143,11.8457764301444,12.1039486826703,10.3877941058047,10.769001812197,14.9873298418054,8.78005462628371,7.74702655769196,10.0719523023177,10.2402322204882,8.47323858551863,11.8820155766225,12.8213272873254,10.0740487033387,9.3810835053144,12.9487380823471,12.365749717322
"hsa-miR-1229-3p",20.9147086524846,20.4220102838796,15.601471709524,18.1549280782237,21.1056559121669,17.8256805786905,15.3798598091991,22.9394607744656,27.0984305116287,16.0081457743756,22.1858953830089,17.9293199049246,17.9216308943266,21.1834861943116,22.4115260490263,27.4249408743471,18.1709444281637,19.7411092140111,18.8320568447433,22.5932144689057,16.1734262870979,15.0840365947906,20.529432635758,11.5455019141611,20.005144633209,18.9367066790046,18.8486422837643,19.0193732481551,21.0477642837019,14.6387651849081,18.9320260360291,27.063201969579,21.7167438854014,18.242113615159,14.9688629289996,18.2474560586102,15.1777913624852,24.3006471693539,21.7272300617905,25.1669061037797,22.6890537271846,19.1618047348496,19.7094553265918,24.8154569249229,19.0647851219067,22.3887690141415,24.9685019709777,16.2357108040424,25.3041687021959,11.4045806477872,14.7989945220425,18.0790023307587,17.3416379181592,18.56898562243,17.6328557182278,16.1579618424891,15.0265982657588,19.127028682229,16.7139276306396,15.5708632717273,17.7631314372598,27.5665374314552,28.3337390549587,22.1630830119797,20.3399881680565,16.1786466440973,20.0100566933167,20.5676459977285,17.2860451307957,14.5476579321848,19.2568433509778,25.2137906799519,16.7758325533794,22.5634946406245,19.2831972921026,18.4504688598629,17.4918999535848,17.0569466877725,12.9541175387421,16.9508888054927,14.9943536911435,19.1602482364371,16.6200180298172,18.9172394668744,20.7670387871862,18.8540460925982,12.5231425243544,17.5702097618662,19.0920267426179,17.9520351019347,12.1007035777875,19.5289357463626,12.1161436947304,20.1922996444897,18.7214065425161,8.86527620548315,17.1281314232666,21.1063097921075,16.0145050235061,22.6769349004423,18.6023737745358,13.9457989087873,19.1391289937851,16.8842755853434,19.3477629180084,15.4789552461486,26.922457887993,17.0147130829144,15.5988419610766,15.9600600245347,14.4267737663917,17.0174939256873,16.6289833217327,23.2745181219064,24.0682848768561,15.7427500772516,22.3634953858954,22.1264963747303,18.1104909290757,21.2300570845621,18.8824383832494,13.9149418646431,17.2071812321513,15.4364242591335,13.3388761338281,14.9659292139447,16.7470377089019,15.5291940813949,21.3321503831866,16.2452447942161,17.5523731384834,14.9102188940632,17.284263966972,12.1921366808856,10.6432670480582,17.3387095414213,14.7498932541957,12.6381155703352,12.6194872369412,19.9416869753444,18.1366331796129,20.2940278034265,13.5832796097386,15.8397244622468,20.0332983745089,14.4466484277032,16.1490916770914,12.2264607040733,10.4427846639676,25.5711079991767,16.2989389915078,15.7122455916155,14.0803193031712,15.4998266808268,11.2271013322417,27.2126130179968,15.935313403463,18.6083787564433,22.7719186965414,16.4876662897626
"hsa-miR-127-5p",29.3407783254281,29.6883849941863,20.8348767766428,34.5704618495516,20.2675251719725,13.6620179617701,14.4033607736944,26.3081927763102,40.2976660375881,32.7608564684896,25.7139276763314,46.6808419146234,14.7937990872979,32.8160364166215,27.38144605153,29.6709489631945,26.6917827758337,39.2977220802276,42.1648568347713,6.13244392727439,24.0804346941235,23.7034860775282,20.529432635758,41.2453102864515,47.1232295804478,33.8867382676924,50.23994726371,28.8879159712544,7.99282187988679,19.908720651475,45.2028711534402,16.4896718977435,17.1320979540389,26.5513486126398,51.8872604413881,37.0450866717513,36.5351120654108,23.5239141548084,22.0649590264815,66.5125375599893,17.9233164146253,33.9199649033053,18.3196860407424,53.6706393957635,26.2531467252486,28.5114119690292,24.8467044003876,38.4888528851076,26.3327934461876,30.2739777195806,23.2555628203526,49.9831240909212,33.6779634932367,21.3883604027989,11.3843194685645,30.6671520683977,24.2882751842768,15.0597869509505,40.7562696839443,16.7856114702308,29.6052190620997,31.4846239699362,37.8678408222671,14.5548604854792,42.8458084095635,53.3337454888172,39.0821419791341,36.4909848346796,10.3716270784774,12.6740959257671,33.7501517677664,10.9464749781255,19.8854990754693,40.2603531822907,15.2347912307772,24.3060068812565,32.528796404912,17.8021530964615,47.5965682294691,16.6619532008537,18.1719650693991,50.8518436606862,14.5999053411102,20.4041840537903,40.009891241368,12.0759386130277,12.5942967432428,20.6665991871131,19.8344944492752,11.1968878728562,58.08337717338,36.5106190040693,26.7595811662757,23.1961128147443,11.4408595537598,36.1703269183713,22.3754780442673,13.4958615497611,29.565240043396,43.6651618827665,26.4455367713671,17.1264197125458,25.2597641542342,25.1408718880662,18.0103599513258,8.0592907479947,39.746247021271,11.2545237579694,24.9376223456685,57.2204424743262,49.8732017838166,56.7249797522908,6.87544502725485,20.9133351240318,15.9797629100438,48.8512141572447,46.6753255970771,27.8302154402164,15.2128123804236,17.3599945951888,20.4912560033468,46.1857644869004,16.8264913818824,19.5367244529658,28.729887057476,14.7968226691544,24.8104262354102,61.0579676382117,13.886811621996,55.1564739917909,38.0751478850179,50.4724801072326,26.8781726006217,15.7626909945735,35.1576772161266,35.1397846706139,10.7787681472969,37.6564259850804,38.699760859953,15.077860883797,29.6873381096456,24.5869952233822,9.02317859789779,15.7401035536792,21.4269191309965,62.1596332348745,19.1170328501785,41.5375784184743,15.4707920947669,44.3488890612287,17.405657071178,20.1439046046353,17.4937300433339,13.9498440127441,17.9633621315868,26.3404138828046,14.6531617503108,23.6833911445642,22.6230826266294,14.3503762151638
"hsa-miR-192-5p",302.43571504672,204.939821262898,193.83347446706,226.990957049886,311.937022759607,208.703588673136,357.764834133035,188.328160484074,182.289442150182,213.81422611821,264.67026877406,206.267941608907,372.465593020769,207.426737648346,165.22639706437,135.233329139022,205.732048779888,151.563749713178,167.356580639134,212.591389478846,250.388599555812,255.997649637304,211.507180971034,273.031214232128,173.822478924105,165.779239172338,169.845669990832,210.020531952505,198.754837413185,524.067793619709,181.449642794751,189.820039861047,230.800728070961,193.691133044725,216.904581096177,197.145882040261,165.654751441981,147.912158341319,197.008562736442,144.838112678896,205.65192533544,293.496959479126,164.877174366681,153.79812256958,193.669046675544,214.292503421069,173.683335661533,178.025136648521,262.91648456428,303.36184523114,171.879750663151,172.572294975424,217.063690077056,223.8972454893,231.281437624521,183.783076194842,192.51057023491,166.976761886816,182.05324249989,266.582013744324,180.838546437659,170.996491072276,166.779639366155,193.623750094708,208.296545498801,198.16052717184,205.311519197051,208.21977104152,208.76223734884,229.897079140435,242.53487441521,249.186048378452,207.447490355204,198.97905322786,213.180540229267,202.40274821119,330.402554678823,302.388200503617,204.518037505595,297.892608382892,233.554436301786,254.71325262183,317.341338735074,203.298368244445,177.472446149211,214.016795935401,222.428088245067,208.970281675965,271.637113821358,248.737476051548,214.307633019023,233.026431369641,184.715442217209,258.41137189663,217.187226404846,236.525569162291,272.465998131963,199.901107165634,286.72123417085,188.331140201545,317.145334512897,261.055569046948,222.091618679151,430.456256681281,242.604898156225,264.421491684207,173.533614353248,333.647889360274,255.63628503317,224.52902625425,189.642268058214,245.619162327419,198.748329508786,137.960549447242,155.950649140613,203.032787078781,210.33545092113,185.764229563847,253.72797791635,164.532942405356,192.888765188529,253.330891961268,223.236528197644,320.546997506069,341.307327088651,208.001050092113,223.914096774577,226.232122867594,180.528551085948,260.542783175809,227.910814290462,218.559730372604,179.467005154859,253.944789724731,241.654505927223,241.932793801299,242.049530325263,336.328626606472,193.728249522255,194.715171198282,247.934868103423,145.960892278491,273.314990433098,276.746884000766,198.242552610358,194.05362888023,261.091530844218,206.149463262058,346.062280669817,172.781220966868,216.715522146344,224.302377772614,224.787319784466,252.750507075349,188.147506492818,206.885634867591,180.966547616339,277.434010550609,212.612325869342,620.882766670969
"hsa-miR-1273h-3p",55.4465477585653,51.4598673232562,57.4687122464744,51.3121320534225,65.6027788461216,46.0605176996821,45.2851427715306,66.6527688936395,47.0972722176278,59.3170052724925,59.7051618869964,39.4121987099243,43.5360373140481,58.0403032144723,48.855251345367,65.6070783847527,57.6953150769944,53.8729335559928,49.9819370344761,46.9078167068708,52.9529956955353,58.4685989912361,69.1517730888692,49.9243427598553,55.4957530750872,54.7060415171243,48.0917564151927,49.2529995907411,48.8894271653076,56.7984089174433,50.4144962981898,50.4760185572148,53.8092654049391,55.6814253279461,43.3953093566671,56.7596748757774,48.6773451553989,55.7028533288386,50.4341920605292,46.2249295783709,62.576202973605,47.8450031267674,52.1795195505283,50.496569323971,61.361521512585,50.5346500604908,49.6934088007752,43.3709197702392,50.6083374043919,37.1167261082529,60.1473420217301,46.4059952875091,61.742933070934,52.6931424468955,54.1825129594086,40.8895360911969,48.7655641832172,43.9701808786875,51.8131756549828,49.0316545577795,59.950568600752,58.0716397667712,51.5647194175551,55.4628395772427,47.8366388396885,43.068673135321,54.7149987707878,49.0969614139325,58.506614288847,51.6882694711717,44.5947951285802,49.4436285528814,49.3454977057941,44.3527517200511,49.5397057504293,50.9321326011783,54.9307033630118,55.9732813637582,48.7742152784457,61.7359075245502,43.8907571621553,44.9493975214994,66.7555420313653,63.5255770743511,56.0138477379152,57.6528682170357,62.1176330895534,55.5909915416421,55.5790111840654,71.5305316175025,43.312173495667,50.5676790340598,55.6004630899284,40.0508422700621,53.5167479952732,43.9717699791964,48.1171784491766,52.8672471235001,52.8683979942671,38.2773794773423,53.2932870297513,56.7618481901517,56.2515517126984,47.8697044067976,45.0258998783145,57.0546614858038,54.6698378839747,49.3603915999131,41.767951829988,58.9434034997021,58.0173482648442,49.6343572832545,58.041547555663,58.4673885187987,66.1877834113543,48.0397321944998,51.0802565064201,53.8903111704543,50.4377172374757,69.9928444506656,50.04269544619,54.3768295561584,49.8703703852172,53.464698605853,53.6353410975607,52.338475612609,54.8930680458451,46.3522914247696,53.7904811623099,42.160278156418,51.9370220559227,43.6193360192781,57.6395939339111,50.5973672256752,59.2358879150124,57.2177414866904,44.816983349287,44.620285585061,44.435891422199,50.8269826566705,58.1588125424457,55.4183066939725,51.1313453880875,60.5695124090948,49.7348407471505,56.0686138977888,45.0428719209685,49.6345722622315,41.1909839523168,50.0527201688145,51.5126960719258,52.8777495871677,54.6145718426035,34.4096152314354,53.7029680392229,64.7171758312617,69.5109360530371,66.4365258081282,53.2088949935526,63.6607115076946
