"ID","miR.alias","miR2","miRNA","miRNA.prev"
"MIMAT0019741","hsa-miR-4666-5p;hsa-miR-4666a-5p;","hsa_miR_4666_5p;hsa_miR_4666a_5p;","hsa_miR_4666a_5p","hsa_miR_4666_5p"
"MIMAT0019742","hsa-miR-4666-3p;hsa-miR-4666a-3p;","hsa_miR_4666_3p;hsa_miR_4666a_3p;","hsa_miR_4666a_3p","hsa_miR_4666_3p"
"MIMAT0019743","hsa-miR-4667-5p;","hsa_miR_4667_5p;","hsa_miR_4667_5p","hsa_miR_4667_5p"
"MIMAT0019744","hsa-miR-4667-3p;","hsa_miR_4667_3p;","hsa_miR_4667_3p","hsa_miR_4667_3p"
"MIMAT0019745","hsa-miR-4668-5p;","hsa_miR_4668_5p;","hsa_miR_4668_5p","hsa_miR_4668_5p"
"MIMAT0019746","hsa-miR-4668-3p;","hsa_miR_4668_3p;","hsa_miR_4668_3p","hsa_miR_4668_3p"
"MIMAT0019747","hsa-miR-2964a-5p;hsa-miR-219b-5p;","hsa_miR_2964a_5p;hsa_miR_219b_5p;","hsa_miR_219b_5p","hsa_miR_2964a_5p"
"MIMAT0019748","hsa-miR-2964a-3p;hsa-miR-219b-3p;","hsa_miR_2964a_3p;hsa_miR_219b_3p;","hsa_miR_219b_3p","hsa_miR_2964a_3p"
"MIMAT0019749","hsa-miR-4669;","hsa_miR_4669;","hsa_miR_4669","hsa_miR_4669"
"MIMAT0019750","hsa-miR-4670-5p;","hsa_miR_4670_5p;","hsa_miR_4670_5p","hsa_miR_4670_5p"
"MIMAT0019751","hsa-miR-4670-3p;","hsa_miR_4670_3p;","hsa_miR_4670_3p","hsa_miR_4670_3p"
"MIMAT0019752","hsa-miR-4671-5p;","hsa_miR_4671_5p;","hsa_miR_4671_5p","hsa_miR_4671_5p"
"MIMAT0019753","hsa-miR-4671-3p;","hsa_miR_4671_3p;","hsa_miR_4671_3p","hsa_miR_4671_3p"
"MIMAT0019754","hsa-miR-4672;","hsa_miR_4672;","hsa_miR_4672","hsa_miR_4672"
"MIMAT0019755","hsa-miR-4673;","hsa_miR_4673;","hsa_miR_4673","hsa_miR_4673"
"MIMAT0019756","hsa-miR-4674;","hsa_miR_4674;","hsa_miR_4674","hsa_miR_4674"
"MIMAT0019757","hsa-miR-4675;","hsa_miR_4675;","hsa_miR_4675","hsa_miR_4675"
"MIMAT0019758","hsa-miR-4676-5p;","hsa_miR_4676_5p;","hsa_miR_4676_5p","hsa_miR_4676_5p"
"MIMAT0019759","hsa-miR-4676-3p;","hsa_miR_4676_3p;","hsa_miR_4676_3p","hsa_miR_4676_3p"
