"ID","miR.alias","miR2","miRNA","miRNA.prev"
"MI0000060","hsa-let-7a-1L;hsa-let-7a-1;","hsa_let_7a_1L;hsa_let_7a_1;","hsa_let_7a_1","hsa_let_7a_1L"
"MI0000061","hsa-let-7a-2L;hsa-let-7a-2;","hsa_let_7a_2L;hsa_let_7a_2;","hsa_let_7a_2","hsa_let_7a_2L"
"MI0000062","hsa-let-7a-3L;hsa-let-7a-3;","hsa_let_7a_3L;hsa_let_7a_3;","hsa_let_7a_3","hsa_let_7a_3L"
"MI0000063","hsa-let-7bL;hsa-let-7b;","hsa_let_7bL;hsa_let_7b;","hsa_let_7b","hsa_let_7bL"
"MI0000064","hsa-let-7cL;hsa-let-7c;","hsa_let_7cL;hsa_let_7c;","hsa_let_7c","hsa_let_7cL"
"MI0000065","hsa-let-7dL;hsa-let-7d;","hsa_let_7dL;hsa_let_7d;","hsa_let_7d","hsa_let_7dL"
"MI0000066","hsa-let-7eL;hsa-let-7e;","hsa_let_7eL;hsa_let_7e;","hsa_let_7e","hsa_let_7eL"
"MI0000067","hsa-let-7f-1L;hsa-let-7f-1;","hsa_let_7f_1L;hsa_let_7f_1;","hsa_let_7f_1","hsa_let_7f_1L"
"MI0000068","hsa-let-7f-2L;hsa-let-7f-2;","hsa_let_7f_2L;hsa_let_7f_2;","hsa_let_7f_2","hsa_let_7f_2L"
"MI0000433","hsa-let-7g;","hsa_let_7g;","hsa_let_7g","hsa_let_7g"
"MI0000434","hsa-let-7i;","hsa_let_7i;","hsa_let_7i","hsa_let_7i"
"MIMAT0000062","hsa-let-7a;hsa-let-7a-5p;","hsa_let_7a;hsa_let_7a_5p;","hsa_let_7a_5p","hsa_let_7a"
"MIMAT0000063","hsa-let-7b;hsa-let-7b-5p;","hsa_let_7b;hsa_let_7b_5p;","hsa_let_7b_5p","hsa_let_7b"
"MIMAT0000064","hsa-let-7c;hsa-let-7c-5p;","hsa_let_7c;hsa_let_7c_5p;","hsa_let_7c_5p","hsa_let_7c"
"MIMAT0000065","hsa-let-7d;hsa-let-7d-5p;","hsa_let_7d;hsa_let_7d_5p;","hsa_let_7d_5p","hsa_let_7d"
"MIMAT0000066","hsa-let-7e;hsa-let-7e-5p;","hsa_let_7e;hsa_let_7e_5p;","hsa_let_7e_5p","hsa_let_7e"
"MIMAT0000067","hsa-let-7f;hsa-let-7f-5p;","hsa_let_7f;hsa_let_7f_5p;","hsa_let_7f_5p","hsa_let_7f"
"MIMAT0000068","hsa-miR-15a;hsa-miR-15a-5p;","hsa_miR_15a;hsa_miR_15a_5p;","hsa_miR_15a_5p","hsa_miR_15a"
"MIMAT0000069","hsa-miR-16;hsa-miR-16-5p;","hsa_miR_16;hsa_miR_16_5p;","hsa_miR_16_5p","hsa_miR_16"
"MIMAT0000070","hsa-miR-17-5p;hsa-miR-17;hsa-miR-17-5p;","hsa_miR_17_5p;hsa_miR_17;hsa_miR_17_5p;","hsa_miR_17_5p","hsa_miR_17_5p"
"MIMAT0000071","hsa-miR-17-3p;hsa-miR-17*;hsa-miR-17-3p;","hsa_miR_17_3p;hsa_miR_17*;hsa_miR_17_3p;","hsa_miR_17_3p","hsa_miR_17_3p"
"MIMAT0000072","hsa-miR-18;hsa-miR-18a;hsa-miR-18a-5p;","hsa_miR_18;hsa_miR_18a;hsa_miR_18a_5p;","hsa_miR_18a_5p","hsa_miR_18"
"MIMAT0000073","hsa-miR-19a;hsa-miR-19a-3p;","hsa_miR_19a;hsa_miR_19a_3p;","hsa_miR_19a_3p","hsa_miR_19a"
"MIMAT0000074","hsa-miR-19b;hsa-miR-19b-3p;","hsa_miR_19b;hsa_miR_19b_3p;","hsa_miR_19b_3p","hsa_miR_19b"
"MIMAT0000075","hsa-miR-20;hsa-miR-20a;hsa-miR-20a-5p;","hsa_miR_20;hsa_miR_20a;hsa_miR_20a_5p;","hsa_miR_20a_5p","hsa_miR_20"
"MIMAT0000076","hsa-miR-21;hsa-miR-21-5p;","hsa_miR_21;hsa_miR_21_5p;","hsa_miR_21_5p","hsa_miR_21"
"MIMAT0000077","hsa-miR-22;hsa-miR-22-3p;","hsa_miR_22;hsa_miR_22_3p;","hsa_miR_22_3p","hsa_miR_22"
"MIMAT0000078","hsa-miR-23a;hsa-miR-23a-3p;","hsa_miR_23a;hsa_miR_23a_3p;","hsa_miR_23a_3p","hsa_miR_23a"
"MIMAT0000079","hsa-miR-189;hsa-miR-24-1*;hsa-miR-24-1-5p;","hsa_miR_189;hsa_miR_24_1*;hsa_miR_24_1_5p;","hsa_miR_24_1_5p","hsa_miR_189"
"MIMAT0000080","hsa-miR-24;hsa-miR-24-3p;","hsa_miR_24;hsa_miR_24_3p;","hsa_miR_24_3p","hsa_miR_24"
"MIMAT0000081","hsa-miR-25;hsa-miR-25-3p;","hsa_miR_25;hsa_miR_25_3p;","hsa_miR_25_3p","hsa_miR_25"
"MIMAT0000082","hsa-miR-26a;hsa-miR-26a-5p;","hsa_miR_26a;hsa_miR_26a_5p;","hsa_miR_26a_5p","hsa_miR_26a"
"MIMAT0000083","hsa-miR-26b;hsa-miR-26b-5p;","hsa_miR_26b;hsa_miR_26b_5p;","hsa_miR_26b_5p","hsa_miR_26b"
"MIMAT0000084","hsa-miR-27a;hsa-miR-27a-3p;","hsa_miR_27a;hsa_miR_27a_3p;","hsa_miR_27a_3p","hsa_miR_27a"
"MIMAT0000085","hsa-miR-28;hsa-miR-28-5p;","hsa_miR_28;hsa_miR_28_5p;","hsa_miR_28_5p","hsa_miR_28"
"MIMAT0000086","hsa-miR-29a;hsa-miR-29a-3p;","hsa_miR_29a;hsa_miR_29a_3p;","hsa_miR_29a_3p","hsa_miR_29a"
"MIMAT0000087","hsa-miR-30a-5p;hsa-miR-30a;hsa-miR-30a-5p;","hsa_miR_30a_5p;hsa_miR_30a;hsa_miR_30a_5p;","hsa_miR_30a_5p","hsa_miR_30a_5p"
"MIMAT0000088","hsa-miR-30a-3p;hsa-miR-30a*;hsa-miR-30a-3p;","hsa_miR_30a_3p;hsa_miR_30a*;hsa_miR_30a_3p;","hsa_miR_30a_3p","hsa_miR_30a_3p"
"MIMAT0000089","hsa-miR-31;hsa-miR-31-5p;","hsa_miR_31;hsa_miR_31_5p;","hsa_miR_31_5p","hsa_miR_31"
"MIMAT0000090","hsa-miR-32;hsa-miR-32-5p;","hsa_miR_32;hsa_miR_32_5p;","hsa_miR_32_5p","hsa_miR_32"
"MIMAT0000091","hsa-miR-33;hsa-miR-33a;hsa-miR-33a-5p;","hsa_miR_33;hsa_miR_33a;hsa_miR_33a_5p;","hsa_miR_33a_5p","hsa_miR_33"
"MIMAT0000092","hsa-miR-92;hsa-miR-92a;hsa-miR-92a-3p;","hsa_miR_92;hsa_miR_92a;hsa_miR_92a_3p;","hsa_miR_92a_3p","hsa_miR_92"
"MIMAT0000093","hsa-miR-93;hsa-miR-93-5p;","hsa_miR_93;hsa_miR_93_5p;","hsa_miR_93_5p","hsa_miR_93"
"MIMAT0000094","hsa-miR-95;hsa-miR-95-3p;","hsa_miR_95;hsa_miR_95_3p;","hsa_miR_95_3p","hsa_miR_95"
"MIMAT0000095","hsa-miR-96;hsa-miR-96-5p;","hsa_miR_96;hsa_miR_96_5p;","hsa_miR_96_5p","hsa_miR_96"
"MIMAT0000096","hsa-miR-98;hsa-miR-98-5p;","hsa_miR_98;hsa_miR_98_5p;","hsa_miR_98_5p","hsa_miR_98"
"MIMAT0000097","hsa-miR-99a;hsa-miR-99a-5p;","hsa_miR_99a;hsa_miR_99a_5p;","hsa_miR_99a_5p","hsa_miR_99a"
"MIMAT0000098","hsa-miR-100;hsa-miR-100-5p;","hsa_miR_100;hsa_miR_100_5p;","hsa_miR_100_5p","hsa_miR_100"
"MIMAT0000099","hsa-miR-101;hsa-miR-101-3p;","hsa_miR_101;hsa_miR_101_3p;","hsa_miR_101_3p","hsa_miR_101"
"MIMAT0000100","hsa-miR-29b;hsa-miR-29b-3p;","hsa_miR_29b;hsa_miR_29b_3p;","hsa_miR_29b_3p","hsa_miR_29b"
"MIMAT0000101","hsa-miR-103;hsa-miR-103a;hsa-miR-103a-3p;","hsa_miR_103;hsa_miR_103a;hsa_miR_103a_3p;","hsa_miR_103a_3p","hsa_miR_103"
"MIMAT0000102","hsa-miR-105;hsa-miR-105-5p;","hsa_miR_105;hsa_miR_105_5p;","hsa_miR_105_5p","hsa_miR_105"
"MIMAT0000103","hsa-miR-106a;hsa-miR-106a-5p;","hsa_miR_106a;hsa_miR_106a_5p;","hsa_miR_106a_5p","hsa_miR_106a"
"MIMAT0000104","hsa-miR-107;","hsa_miR_107;","hsa_miR_107","hsa_miR_107"
"MIMAT0000222","hsa-miR-192;hsa-miR-192-5p;","hsa_miR_192;hsa_miR_192_5p;","hsa_miR_192_5p","hsa_miR_192"
"MIMAT0000226","hsa-miR-196a;hsa-miR-196a-5p;","hsa_miR_196a;hsa_miR_196a_5p;","hsa_miR_196a_5p","hsa_miR_196a"
"MIMAT0000227","hsa-miR-197;hsa-miR-197-3p;","hsa_miR_197;hsa_miR_197_3p;","hsa_miR_197_3p","hsa_miR_197"
"MIMAT0000228","hsa-miR-198;","hsa_miR_198;","hsa_miR_198","hsa_miR_198"
"MIMAT0000231","hsa-miR-199a;hsa-miR-199a-5p;","hsa_miR_199a;hsa_miR_199a_5p;","hsa_miR_199a_5p","hsa_miR_199a"
"MIMAT0000232","hsa-miR-199a*;hsa-miR-199a-3p;","hsa_miR_199a*;hsa_miR_199a_3p;","hsa_miR_199a_3p","hsa_miR_199a*"
"MIMAT0000241","hsa-miR-208;hsa-miR-208a;hsa-miR-208a-3p;","hsa_miR_208;hsa_miR_208a;hsa_miR_208a_3p;","hsa_miR_208a_3p","hsa_miR_208"
"MIMAT0000242","hsa-miR-129;hsa-miR-129-5p;","hsa_miR_129;hsa_miR_129_5p;","hsa_miR_129_5p","hsa_miR_129"
"MIMAT0000243","hsa-miR-148a;hsa-miR-148a-3p;","hsa_miR_148a;hsa_miR_148a_3p;","hsa_miR_148a_3p","hsa_miR_148a"
"MIMAT0000244","hsa-miR-30c;hsa-miR-30c-5p;","hsa_miR_30c;hsa_miR_30c_5p;","hsa_miR_30c_5p","hsa_miR_30c"
"MIMAT0000245","hsa-miR-30d;hsa-miR-30d-5p;","hsa_miR_30d;hsa_miR_30d_5p;","hsa_miR_30d_5p","hsa_miR_30d"
"MIMAT0000250","hsa-miR-139;hsa-miR-139-5p;","hsa_miR_139;hsa_miR_139_5p;","hsa_miR_139_5p","hsa_miR_139"
"MIMAT0000251","hsa-miR-147;hsa-miR-147a;","hsa_miR_147;hsa_miR_147a;","hsa_miR_147a","hsa_miR_147"
"MIMAT0000252","hsa-miR-7;hsa-miR-7-5p;","hsa_miR_7;hsa_miR_7_5p;","hsa_miR_7_5p","hsa_miR_7"
"MIMAT0000253","hsa-miR-10a;hsa-miR-10a-5p;","hsa_miR_10a;hsa_miR_10a_5p;","hsa_miR_10a_5p","hsa_miR_10a"
"MIMAT0000254","hsa-miR-10b;hsa-miR-10b-5p;","hsa_miR_10b;hsa_miR_10b_5p;","hsa_miR_10b_5p","hsa_miR_10b"
"MIMAT0000255","hsa-miR-34a;hsa-miR-34a-5p;","hsa_miR_34a;hsa_miR_34a_5p;","hsa_miR_34a_5p","hsa_miR_34a"
"MIMAT0000256","hsa-miR-181a;hsa-miR-181a-5p;","hsa_miR_181a;hsa_miR_181a_5p;","hsa_miR_181a_5p","hsa_miR_181a"
"MIMAT0000257","hsa-miR-181b;hsa-miR-181b-5p;","hsa_miR_181b;hsa_miR_181b_5p;","hsa_miR_181b_5p","hsa_miR_181b"
"MIMAT0000258","hsa-miR-181c;hsa-miR-181c-5p;","hsa_miR_181c;hsa_miR_181c_5p;","hsa_miR_181c_5p","hsa_miR_181c"
"MIMAT0000259","hsa-miR-182;hsa-miR-182-5p;","hsa_miR_182;hsa_miR_182_5p;","hsa_miR_182_5p","hsa_miR_182"
"MIMAT0000260","hsa-miR-182*;hsa-miR-182-3p;","hsa_miR_182*;hsa_miR_182_3p;","hsa_miR_182_3p","hsa_miR_182*"
"MIMAT0000261","hsa-miR-183;hsa-miR-183-5p;","hsa_miR_183;hsa_miR_183_5p;","hsa_miR_183_5p","hsa_miR_183"
"MIMAT0000262","hsa-miR-187;hsa-miR-187-3p;","hsa_miR_187;hsa_miR_187_3p;","hsa_miR_187_3p","hsa_miR_187"
"MIMAT0000263","hsa-miR-199b;hsa-miR-199b-5p;","hsa_miR_199b;hsa_miR_199b_5p;","hsa_miR_199b_5p","hsa_miR_199b"
"MIMAT0000264","hsa-miR-203;hsa-miR-203a;hsa-miR-203a-3p;","hsa_miR_203;hsa_miR_203a;hsa_miR_203a_3p;","hsa_miR_203a_3p","hsa_miR_203"
"MIMAT0000265","hsa-miR-204;hsa-miR-204-5p;","hsa_miR_204;hsa_miR_204_5p;","hsa_miR_204_5p","hsa_miR_204"
"MIMAT0000266","hsa-miR-205;hsa-miR-205-5p;","hsa_miR_205;hsa_miR_205_5p;","hsa_miR_205_5p","hsa_miR_205"
"MIMAT0000267","hsa-miR-210;hsa-miR-210-3p;","hsa_miR_210;hsa_miR_210_3p;","hsa_miR_210_3p","hsa_miR_210"
"MIMAT0000268","hsa-miR-211;hsa-miR-211-5p;","hsa_miR_211;hsa_miR_211_5p;","hsa_miR_211_5p","hsa_miR_211"
"MIMAT0000269","hsa-miR-212;hsa-miR-212-3p;","hsa_miR_212;hsa_miR_212_3p;","hsa_miR_212_3p","hsa_miR_212"
"MIMAT0000270","hsa-miR-213;hsa-miR-181a*;hsa-miR-181a-3p;","hsa_miR_213;hsa_miR_181a*;hsa_miR_181a_3p;","hsa_miR_181a_3p","hsa_miR_213"
"MIMAT0000271","hsa-miR-214;hsa-miR-214-3p;","hsa_miR_214;hsa_miR_214_3p;","hsa_miR_214_3p","hsa_miR_214"
"MIMAT0000272","hsa-miR-215;hsa-miR-215-5p;","hsa_miR_215;hsa_miR_215_5p;","hsa_miR_215_5p","hsa_miR_215"
"MIMAT0000273","hsa-miR-216;hsa-miR-216a;hsa-miR-216a-5p;","hsa_miR_216;hsa_miR_216a;hsa_miR_216a_5p;","hsa_miR_216a_5p","hsa_miR_216"
"MIMAT0000274","hsa-miR-217;hsa-miR-217-5p;","hsa_miR_217;hsa_miR_217_5p;","hsa_miR_217_5p","hsa_miR_217"
"MIMAT0000275","hsa-miR-218;hsa-miR-218-5p;","hsa_miR_218;hsa_miR_218_5p;","hsa_miR_218_5p","hsa_miR_218"
"MIMAT0000276","hsa-miR-219;hsa-miR-219-5p;hsa-miR-219a-5p;","hsa_miR_219;hsa_miR_219_5p;hsa_miR_219a_5p;","hsa_miR_219a_5p","hsa_miR_219"
"MIMAT0000277","hsa-miR-220;hsa-miR-220a;","hsa_miR_220;hsa_miR_220a;","hsa_miR_220a","hsa_miR_220"
"MIMAT0000278","hsa-miR-221;hsa-miR-221-3p;","hsa_miR_221;hsa_miR_221_3p;","hsa_miR_221_3p","hsa_miR_221"
"MIMAT0000279","hsa-miR-222;hsa-miR-222-3p;","hsa_miR_222;hsa_miR_222_3p;","hsa_miR_222_3p","hsa_miR_222"
"MIMAT0000280","hsa-miR-223;hsa-miR-223-3p;","hsa_miR_223;hsa_miR_223_3p;","hsa_miR_223_3p","hsa_miR_223"
"MIMAT0000281","hsa-miR-224;hsa-miR-224-5p;","hsa_miR_224;hsa_miR_224_5p;","hsa_miR_224_5p","hsa_miR_224"
"MIMAT0000318","hsa-miR-200b;hsa-miR-200b-3p;","hsa_miR_200b;hsa_miR_200b_3p;","hsa_miR_200b_3p","hsa_miR_200b"
"MIMAT0000414","hsa-let-7g;hsa-let-7g-5p;","hsa_let_7g;hsa_let_7g_5p;","hsa_let_7g_5p","hsa_let_7g"
"MIMAT0000415","hsa-let-7i;hsa-let-7i-5p;","hsa_let_7i;hsa_let_7i_5p;","hsa_let_7i_5p","hsa_let_7i"
"MIMAT0000416","hsa-miR-1;hsa-miR-1-3p;","hsa_miR_1;hsa_miR_1_3p;","hsa_miR_1_3p","hsa_miR_1"
"MIMAT0000417","hsa-miR-15b;hsa-miR-15b-5p;","hsa_miR_15b;hsa_miR_15b_5p;","hsa_miR_15b_5p","hsa_miR_15b"
"MIMAT0000418","hsa-miR-23b;hsa-miR-23b-3p;","hsa_miR_23b;hsa_miR_23b_3p;","hsa_miR_23b_3p","hsa_miR_23b"
"MIMAT0000419","hsa-miR-27b;hsa-miR-27b-3p;","hsa_miR_27b;hsa_miR_27b_3p;","hsa_miR_27b_3p","hsa_miR_27b"
"MIMAT0000420","hsa-miR-30b;hsa-miR-30b-5p;","hsa_miR_30b;hsa_miR_30b_5p;","hsa_miR_30b_5p","hsa_miR_30b"
"MIMAT0000421","hsa-miR-122a;hsa-miR-122;hsa-miR-122-5p;","hsa_miR_122a;hsa_miR_122;hsa_miR_122_5p;","hsa_miR_122_5p","hsa_miR_122a"
"MIMAT0000422","hsa-miR-124a;hsa-miR-124;hsa-miR-124-3p;","hsa_miR_124a;hsa_miR_124;hsa_miR_124_3p;","hsa_miR_124_3p","hsa_miR_124a"
"MIMAT0000423","hsa-miR-125b;hsa-miR-125b-5p;","hsa_miR_125b;hsa_miR_125b_5p;","hsa_miR_125b_5p","hsa_miR_125b"
"MIMAT0000424","hsa-miR-128a;hsa-miR-128;hsa-miR-128-3p;","hsa_miR_128a;hsa_miR_128;hsa_miR_128_3p;","hsa_miR_128_3p","hsa_miR_128a"
"MIMAT0000425","hsa-miR-130a;hsa-miR-130a-3p;","hsa_miR_130a;hsa_miR_130a_3p;","hsa_miR_130a_3p","hsa_miR_130a"
"MIMAT0000426","hsa-miR-132;hsa-miR-132-3p;","hsa_miR_132;hsa_miR_132_3p;","hsa_miR_132_3p","hsa_miR_132"
"MIMAT0000427","hsa-miR-133a;hsa-miR-133a-3p;","hsa_miR_133a;hsa_miR_133a_3p;","hsa_miR_133a_3p","hsa_miR_133a"
"MIMAT0000428","hsa-miR-135a;hsa-miR-135a-5p;","hsa_miR_135a;hsa_miR_135a_5p;","hsa_miR_135a_5p","hsa_miR_135a"
"MIMAT0000429","hsa-miR-137;hsa-miR-137-3p;","hsa_miR_137;hsa_miR_137_3p;","hsa_miR_137_3p","hsa_miR_137"
"MIMAT0000430","hsa-miR-138;hsa-miR-138-5p;","hsa_miR_138;hsa_miR_138_5p;","hsa_miR_138_5p","hsa_miR_138"
"MIMAT0000431","hsa-miR-140;hsa-miR-140-5p;","hsa_miR_140;hsa_miR_140_5p;","hsa_miR_140_5p","hsa_miR_140"
"MIMAT0000432","hsa-miR-141;hsa-miR-141-3p;","hsa_miR_141;hsa_miR_141_3p;","hsa_miR_141_3p","hsa_miR_141"
"MIMAT0000433","hsa-miR-142-5p;","hsa_miR_142_5p;","hsa_miR_142_5p","hsa_miR_142_5p"
"MIMAT0000434","hsa-miR-142-3p;","hsa_miR_142_3p;","hsa_miR_142_3p","hsa_miR_142_3p"
"MIMAT0000435","hsa-miR-143;hsa-miR-143-3p;","hsa_miR_143;hsa_miR_143_3p;","hsa_miR_143_3p","hsa_miR_143"
"MIMAT0000436","hsa-miR-144;hsa-miR-144-3p;","hsa_miR_144;hsa_miR_144_3p;","hsa_miR_144_3p","hsa_miR_144"
"MIMAT0000437","hsa-miR-145;hsa-miR-145-5p;","hsa_miR_145;hsa_miR_145_5p;","hsa_miR_145_5p","hsa_miR_145"
"MIMAT0000438","hsa-miR-152;hsa-miR-152-3p;","hsa_miR_152;hsa_miR_152_3p;","hsa_miR_152_3p","hsa_miR_152"
"MIMAT0000439","hsa-miR-153;hsa-miR-153-3p;","hsa_miR_153;hsa_miR_153_3p;","hsa_miR_153_3p","hsa_miR_153"
"MIMAT0000440","hsa-miR-191;hsa-miR-191-5p;","hsa_miR_191;hsa_miR_191_5p;","hsa_miR_191_5p","hsa_miR_191"
"MIMAT0000441","hsa-miR-9;hsa-miR-9-5p;","hsa_miR_9;hsa_miR_9_5p;","hsa_miR_9_5p","hsa_miR_9"
"MIMAT0000442","hsa-miR-9*;hsa-miR-9-3p;","hsa_miR_9*;hsa_miR_9_3p;","hsa_miR_9_3p","hsa_miR_9*"
"MIMAT0000443","hsa-miR-125a;hsa-miR-125a-5p;","hsa_miR_125a;hsa_miR_125a_5p;","hsa_miR_125a_5p","hsa_miR_125a"
"MIMAT0000444","hsa-miR-126*;hsa-miR-126-5p;","hsa_miR_126*;hsa_miR_126_5p;","hsa_miR_126_5p","hsa_miR_126*"
"MIMAT0000445","hsa-miR-126;hsa-miR-126-3p;","hsa_miR_126;hsa_miR_126_3p;","hsa_miR_126_3p","hsa_miR_126"
"MIMAT0000446","hsa-miR-127;hsa-miR-127-3p;","hsa_miR_127;hsa_miR_127_3p;","hsa_miR_127_3p","hsa_miR_127"
"MIMAT0000447","hsa-miR-134;hsa-miR-134-5p;","hsa_miR_134;hsa_miR_134_5p;","hsa_miR_134_5p","hsa_miR_134"
"MIMAT0000448","hsa-miR-136;hsa-miR-136-5p;","hsa_miR_136;hsa_miR_136_5p;","hsa_miR_136_5p","hsa_miR_136"
"MIMAT0000449","hsa-miR-146;hsa-miR-146a;hsa-miR-146a-5p;","hsa_miR_146;hsa_miR_146a;hsa_miR_146a_5p;","hsa_miR_146a_5p","hsa_miR_146"
"MIMAT0000450","hsa-miR-149;hsa-miR-149-5p;","hsa_miR_149;hsa_miR_149_5p;","hsa_miR_149_5p","hsa_miR_149"
"MIMAT0000451","hsa-miR-150;hsa-miR-150-5p;","hsa_miR_150;hsa_miR_150_5p;","hsa_miR_150_5p","hsa_miR_150"
"MIMAT0000452","hsa-miR-154;hsa-miR-154-5p;","hsa_miR_154;hsa_miR_154_5p;","hsa_miR_154_5p","hsa_miR_154"
"MIMAT0000453","hsa-miR-154*;hsa-miR-154-3p;","hsa_miR_154*;hsa_miR_154_3p;","hsa_miR_154_3p","hsa_miR_154*"
"MIMAT0000454","hsa-miR-184;","hsa_miR_184;","hsa_miR_184","hsa_miR_184"
"MIMAT0000455","hsa-miR-185;hsa-miR-185-5p;","hsa_miR_185;hsa_miR_185_5p;","hsa_miR_185_5p","hsa_miR_185"
"MIMAT0000456","hsa-miR-186;hsa-miR-186-5p;","hsa_miR_186;hsa_miR_186_5p;","hsa_miR_186_5p","hsa_miR_186"
"MIMAT0000457","hsa-miR-188;hsa-miR-188-5p;","hsa_miR_188;hsa_miR_188_5p;","hsa_miR_188_5p","hsa_miR_188"
"MIMAT0000458","hsa-miR-190;hsa-miR-190a;hsa-miR-190a-5p;","hsa_miR_190;hsa_miR_190a;hsa_miR_190a_5p;","hsa_miR_190a_5p","hsa_miR_190"
"MIMAT0000459","hsa-miR-193;hsa-miR-193a;hsa-miR-193a-3p;","hsa_miR_193;hsa_miR_193a;hsa_miR_193a_3p;","hsa_miR_193a_3p","hsa_miR_193"
"MIMAT0000460","hsa-miR-194;hsa-miR-194-5p;","hsa_miR_194;hsa_miR_194_5p;","hsa_miR_194_5p","hsa_miR_194"
"MIMAT0000461","hsa-miR-195;hsa-miR-195-5p;","hsa_miR_195;hsa_miR_195_5p;","hsa_miR_195_5p","hsa_miR_195"
"MIMAT0000462","hsa-miR-206;","hsa_miR_206;","hsa_miR_206","hsa_miR_206"
"MIMAT0000510","hsa-miR-320;hsa-miR-320a;hsa-miR-320a-3p;","hsa_miR_320;hsa_miR_320a;hsa_miR_320a_3p;","hsa_miR_320a_3p","hsa_miR_320"
"MIMAT0000617","hsa-miR-200c;hsa-miR-200c-3p;","hsa_miR_200c;hsa_miR_200c_3p;","hsa_miR_200c_3p","hsa_miR_200c"
"MIMAT0000646","hsa-miR-155;hsa-miR-155-5p;","hsa_miR_155;hsa_miR_155_5p;","hsa_miR_155_5p","hsa_miR_155"
"MIMAT0000676","hsa-miR-128b;","hsa_miR_128b;","hsa_miR_128b","hsa_miR_128b"
"MIMAT0000680","hsa-miR-106b;hsa-miR-106b-5p;","hsa_miR_106b;hsa_miR_106b_5p;","hsa_miR_106b_5p","hsa_miR_106b"
"MIMAT0000681","hsa-miR-29c;hsa-miR-29c-3p;","hsa_miR_29c;hsa_miR_29c_3p;","hsa_miR_29c_3p","hsa_miR_29c"
"MIMAT0000682","hsa-miR-200a;hsa-miR-200a-3p;","hsa_miR_200a;hsa_miR_200a_3p;","hsa_miR_200a_3p","hsa_miR_200a"
"MIMAT0000683","hsa-miR-302a*;hsa-miR-302a-5p;","hsa_miR_302a*;hsa_miR_302a_5p;","hsa_miR_302a_5p","hsa_miR_302a*"
"MIMAT0000684","hsa-miR-302a;hsa-miR-302a-3p;","hsa_miR_302a;hsa_miR_302a_3p;","hsa_miR_302a_3p","hsa_miR_302a"
"MIMAT0000685","hsa-miR-34b;hsa-miR-34b*;hsa-miR-34b-5p;","hsa_miR_34b;hsa_miR_34b*;hsa_miR_34b_5p;","hsa_miR_34b_5p","hsa_miR_34b"
"MIMAT0000686","hsa-miR-34c;hsa-miR-34c-5p;","hsa_miR_34c;hsa_miR_34c_5p;","hsa_miR_34c_5p","hsa_miR_34c"
"MIMAT0000687","hsa-miR-299;hsa-miR-299-5p;hsa-miR-299-3p;","hsa_miR_299;hsa_miR_299_5p;hsa_miR_299_3p;","hsa_miR_299_3p","hsa_miR_299"
"MIMAT0000688","hsa-miR-301;hsa-miR-301a;hsa-miR-301a-3p;","hsa_miR_301;hsa_miR_301a;hsa_miR_301a_3p;","hsa_miR_301a_3p","hsa_miR_301"
"MIMAT0000689","hsa-miR-99b;hsa-miR-99b-5p;","hsa_miR_99b;hsa_miR_99b_5p;","hsa_miR_99b_5p","hsa_miR_99b"
"MIMAT0000690","hsa-miR-296;hsa-miR-296-5p;","hsa_miR_296;hsa_miR_296_5p;","hsa_miR_296_5p","hsa_miR_296"
"MIMAT0000691","hsa-miR-130b;hsa-miR-130b-3p;","hsa_miR_130b;hsa_miR_130b_3p;","hsa_miR_130b_3p","hsa_miR_130b"
"MIMAT0000692","hsa-miR-30e-5p;hsa-miR-30e;hsa-miR-30e-5p;","hsa_miR_30e_5p;hsa_miR_30e;hsa_miR_30e_5p;","hsa_miR_30e_5p","hsa_miR_30e_5p"
"MIMAT0000693","hsa-miR-30e-3p;hsa-miR-30e*;hsa-miR-30e-3p;","hsa_miR_30e_3p;hsa_miR_30e*;hsa_miR_30e_3p;","hsa_miR_30e_3p","hsa_miR_30e_3p"
"MIMAT0000703","hsa-miR-361;hsa-miR-361-5p;","hsa_miR_361;hsa_miR_361_5p;","hsa_miR_361_5p","hsa_miR_361"
"MIMAT0000705","hsa-miR-362;hsa-miR-362-5p;","hsa_miR_362;hsa_miR_362_5p;","hsa_miR_362_5p","hsa_miR_362"
"MIMAT0000707","hsa-miR-363;hsa-miR-363-3p;","hsa_miR_363;hsa_miR_363_3p;","hsa_miR_363_3p","hsa_miR_363"
"MIMAT0000710","hsa-miR-365;hsa-miR-365a-3p;","hsa_miR_365;hsa_miR_365a_3p;","hsa_miR_365a_3p","hsa_miR_365"
"MIMAT0000714","hsa-miR-302b*;hsa-miR-302b-5p;","hsa_miR_302b*;hsa_miR_302b_5p;","hsa_miR_302b_5p","hsa_miR_302b*"
"MIMAT0000715","hsa-miR-302b;hsa-miR-302b-3p;","hsa_miR_302b;hsa_miR_302b_3p;","hsa_miR_302b_3p","hsa_miR_302b"
"MIMAT0000716","hsa-miR-302c*;hsa-miR-302c-5p;","hsa_miR_302c*;hsa_miR_302c_5p;","hsa_miR_302c_5p","hsa_miR_302c*"
"MIMAT0000717","hsa-miR-302c;hsa-miR-302c-3p;","hsa_miR_302c;hsa_miR_302c_3p;","hsa_miR_302c_3p","hsa_miR_302c"
