,NDNRF_1,NDNRF_2,NDNRF_3,NDNRF_4,NDNRF_5,NDNRF_6,NDNRF_7,NDNRF_8,NDNRF_9,NDNRF_10,NDNRF_11,T2DKD_1,T2DKD_2,T2DKD_3,T2DKD_4,T2DKD_5,T2DKD_6,T2DKD_7,T2DKD_8,T2DKD_9,T2DNRF_1,T2DNRF_2,T2DNRF_3,T2DNRF_4,T2DNRF_5,T2DNRF_6,T2DNRF_7,T2DNRF_8,T2DNRF_9,T2DNRF_10,T2DNRF_11,T2DNRF_12,T2DNRF_13
hsa-miR-4778-5p,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4779,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0
hsa-miR-4436b-3p,0,0,0,12,3,0,3,0,0,0,0,0,0,9,17,0,0,0,7,6,0,0,0,2,0,0,0,4,0,0,0,0,0
hsa-miR-4781-5p,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,4,2
hsa-miR-4781-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0
hsa-miR-4783-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4783-3p,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,4,3,2,3,3,0,0,0,4,1,2
hsa-miR-4785,0,0,0,28,0,0,0,0,0,10,0,0,3,0,0,0,0,1,8,15,174,0,0,0,0,0,1,4,0,16,9,10,3
hsa-miR-4786-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4787-5p,0,0,0,19,2,10,0,0,0,0,17,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,0,9,1,12,2,5,0
hsa-miR-4787-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,2,0,0,0,4,0,0,0,0,1
hsa-miR-4788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
hsa-miR-4790-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,4,0,0
hsa-miR-4796-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
hsa-miR-4797-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-4797-3p,0,0,0,0,0,0,0,0,6,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0
hsa-miR-4798-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4799-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4800-5p,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4800-3p,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4804-5p,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4804-3p,0,0,26,32,17,0,0,45,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,4,4,0,0
hsa-miR-4999-5p,0,0,0,0,0,0,5,0,6,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,22,6,2,0,6,5,2,2
hsa-miR-4999-3p,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5000-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
hsa-miR-5001-5p,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5001-3p,0,2,26,18,6,29,0,0,36,0,0,2,1,7,2,0,14,0,5,2,0,127,8,2,1,0,10,6,0,28,13,20,1
hsa-miR-5003-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
hsa-miR-5003-3p,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
hsa-miR-5004-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ao-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ao-3p,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5007-5p,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548ap-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
hsa-miR-548ap-3p,0,0,0,0,0,0,0,17,0,17,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,26,0,2,0,0,2,5,0
hsa-miR-5008-5p,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0
hsa-miR-5008-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-5009-5p,28,0,22,9,6,0,5,25,6,47,23,0,1,25,2,0,9,0,3,0,94,234,14,0,9,25,0,5,0,0,15,14,1
hsa-miR-5009-3p,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5010-5p,12,10,25,38,41,23,32,31,20,33,25,0,12,46,5,0,27,5,39,30,206,266,57,26,33,27,41,22,4,59,28,37,18
hsa-miR-5010-3p,0,0,0,0,0,0,0,0,0,10,0,0,0,7,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,16,3
hsa-miR-5087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-5088-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,5
hsa-miR-5090,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,18,3,0,0,0,3,0,0,0,0,0
hsa-miR-5091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5094,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
hsa-miR-5187-5p,157,7,578,620,86,82,220,66,127,126,157,9,11,83,21,84,291,4,56,20,712,158,55,181,96,252,352,62,693,28,78,55,17
hsa-miR-5189-5p,32,0,21,17,5,6,18,0,4,0,0,0,3,0,2,0,0,4,16,0,0,0,14,37,4,19,19,2,0,13,11,14,2
hsa-miR-5189-3p,66,0,14,19,12,31,21,0,11,11,0,0,7,14,5,0,18,1,20,17,127,224,8,13,53,24,26,39,0,31,34,44,38
hsa-miR-5190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-5191,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5192,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0
hsa-miR-5193,0,0,15,16,8,13,16,0,1,5,23,0,20,0,0,0,57,0,15,4,22,1,16,16,9,9,16,5,22,15,0,6,7
hsa-miR-5194,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-5196-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
hsa-miR-5196-3p,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5197-5p,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-5571-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5100,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,2,0,0,0,2,0,5,7,5,0
