,NDNRF_1,NDNRF_2,NDNRF_3,NDNRF_4,NDNRF_5,NDNRF_6,NDNRF_7,NDNRF_8,NDNRF_9,NDNRF_10,NDNRF_11,T2DKD_1,T2DKD_2,T2DKD_3,T2DKD_4,T2DKD_5,T2DKD_6,T2DKD_7,T2DKD_8,T2DKD_9,T2DNRF_1,T2DNRF_2,T2DNRF_3,T2DNRF_4,T2DNRF_5,T2DNRF_6,T2DNRF_7,T2DNRF_8,T2DNRF_9,T2DNRF_10,T2DNRF_11,T2DNRF_12,T2DNRF_13
hsa-miR-548ay-5p,16,0,218,321,30,44,31,249,106,144,125,5,34,24,22,0,16,1,17,14,715,0,41,60,23,273,93,131,38,316,210,226,30
hsa-miR-548ay-3p,0,6,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,19,0,7,0,1,2,2,3
hsa-miR-6500-3p,0,0,38,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0
hsa-miR-548az-5p,33,4,6,112,31,16,36,47,24,40,24,13,5,40,1,0,107,0,2,0,0,0,3,3,14,84,17,27,36,29,30,66,11
hsa-miR-6501-5p,0,3,0,12,0,12,0,0,0,0,11,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,19,1,9,6,1,1,0
hsa-miR-6501-3p,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6502-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6503-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
hsa-miR-6503-3p,0,0,0,0,2,0,0,0,16,15,0,0,0,0,3,0,0,0,0,0,129,0,3,2,0,14,35,9,0,14,9,6,1
hsa-miR-6505-5p,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,5
hsa-miR-6505-3p,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0
hsa-miR-6506-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6508-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-6509-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,3,0,0,0
hsa-miR-6509-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0
hsa-miR-6510-5p,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
hsa-miR-6510-3p,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6511a-3p,1,0,0,0,16,0,12,0,0,0,12,0,2,9,0,32,11,0,2,15,0,0,22,8,8,0,0,9,0,8,4,2,10
hsa-miR-6513-5p,23,0,0,0,0,0,9,0,14,0,0,0,1,0,4,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0,4,4,0
hsa-miR-6513-3p,0,0,50,12,4,19,9,0,5,39,0,0,1,18,3,14,48,3,1,3,0,0,16,9,1,12,0,11,12,4,9,13,2
hsa-miR-6514-5p,33,0,26,15,9,8,12,0,0,0,0,10,0,22,1,0,24,0,11,0,31,0,4,11,10,21,26,0,0,14,7,8,4
hsa-miR-6514-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0
hsa-miR-6515-5p,0,0,0,8,0,10,2,0,9,24,0,0,1,16,0,0,9,0,6,0,0,0,0,17,5,12,0,2,0,5,1,9,5
hsa-miR-6515-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
hsa-miR-6715a-3p,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,2,0,0,14,0,0
hsa-miR-6715b-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6716-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6716-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-6717-5p,0,0,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,1,2,4,0,0,0,0,3,0,0,0,0,4,0,0,5
hsa-miR-6511b-5p,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,0
hsa-miR-6511b-3p,0,6,32,0,14,1,14,0,5,40,12,0,6,15,11,0,71,3,8,9,165,0,79,23,22,32,25,5,29,15,11,21,11
hsa-miR-6720-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6720-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6721-5p,0,10,57,7,37,2,39,51,15,0,0,2,10,3,6,0,18,6,12,2,112,0,18,17,31,35,49,7,27,1,4,11,21
hsa-miR-6724-5p,0,0,0,32,15,0,18,188,3,0,0,4,8,0,5,0,0,0,16,0,0,0,3,9,9,21,0,21,37,8,11,9,11
hsa-miR-6726-3p,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6727-5p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6727-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,3,0
hsa-miR-6728-5p,0,19,0,0,0,0,33,0,0,0,0,29,48,45,19,0,10,25,44,68,0,0,0,0,42,0,0,0,0,0,0,0,39
hsa-miR-6728-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6729-5p,0,0,17,0,0,3,0,25,4,0,23,3,1,0,0,0,0,0,0,1,0,0,0,1,8,3,0,0,0,11,1,7,0
hsa-miR-6729-3p,0,0,0,0,0,0,1,0,0,0,0,7,2,0,4,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0
hsa-miR-6730-5p,0,0,18,0,2,6,5,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,10,6,0,23,11,2,7,0,3,7,2
hsa-miR-6730-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
hsa-miR-6731-5p,0,0,18,0,0,0,0,0,6,0,0,3,2,0,0,0,0,0,9,0,2,0,0,5,1,0,0,1,0,0,0,2,2
hsa-miR-6732-5p,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6732-3p,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-6733-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-6734-5p,21,14,133,523,73,173,55,180,82,183,499,0,6,51,5,18,30,5,17,8,456,785,31,47,57,110,160,136,214,140,116,104,5
hsa-miR-6734-3p,0,5,0,13,3,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-6735-5p,0,0,36,15,8,0,27,0,6,1,0,0,12,11,1,0,0,7,5,7,0,0,9,12,3,12,17,2,14,20,2,3,6
hsa-miR-6735-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0
hsa-miR-6736-5p,0,0,0,0,3,0,3,0,0,0,0,0,1,0,3,0,7,3,7,2,0,0,2,5,5,5,0,0,9,0,0,1,0
hsa-miR-6737-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6739-5p,0,0,0,0,0,0,5,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6739-3p,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6740-5p,0,0,0,26,6,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,7,0,0,0,0,4,6,1
hsa-miR-6740-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-6741-5p,32,0,37,104,24,18,37,65,15,19,59,0,7,5,2,0,9,1,10,6,372,0,20,11,11,5,35,7,63,27,13,12,2
hsa-miR-6741-3p,0,0,46,7,39,8,29,0,0,0,0,2,21,15,6,0,0,3,47,10,0,0,52,27,7,12,27,5,16,2,7,10,34
hsa-miR-6743-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
hsa-miR-6743-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6746-5p,0,0,31,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
hsa-miR-6746-3p,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,2,0,11,0,0,15,0,0,0,0
hsa-miR-6747-5p,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6747-3p,27,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,4,0,5,0,6,8,0,10,3,0,0
hsa-miR-6748-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,9,5,0,0,0,1,0,0
hsa-miR-6748-3p,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6749-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6749-3p,0,0,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,12,0,0,3,2,0,0,0,0,0,0,1,4,0
hsa-miR-6750-5p,0,4,29,41,5,30,2,0,19,25,4,1,0,0,2,0,18,0,4,2,0,0,11,7,6,5,11,11,0,16,5,8,4
hsa-miR-6750-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-6751-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,0,0,0,0,0,0
hsa-miR-6752-3p,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-6753-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-6753-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
hsa-miR-6754-5p,0,0,0,0,0,0,3,0,0,0,0,4,2,0,0,0,3,0,0,0,143,0,0,10,0,0,0,0,13,0,0,3,1
hsa-miR-6754-3p,0,0,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,1,0,0,0,3,0
hsa-miR-6755-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
hsa-miR-6756-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,3
hsa-miR-6756-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
hsa-miR-6757-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-6758-5p,0,3,41,13,2,3,0,0,0,7,0,0,0,6,0,0,0,0,2,0,0,0,8,7,0,4,19,2,0,0,5,0,0
hsa-miR-6758-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6759-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
hsa-miR-6760-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6761-5p,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6762-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-6762-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0
hsa-miR-6763-5p,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0
hsa-miR-6763-3p,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-6764-5p,27,6,17,29,2,0,27,0,6,8,0,12,5,0,0,0,13,0,10,5,0,0,0,7,0,33,21,3,0,8,1,7,0
hsa-miR-6764-3p,0,0,0,0,0,0,0,0,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0
hsa-miR-6765-5p,0,0,0,18,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2
hsa-miR-6765-3p,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-6766-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
hsa-miR-6766-3p,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6767-5p,0,0,0,0,6,7,13,0,14,0,14,1,8,42,0,0,51,0,7,0,0,0,0,8,14,24,31,0,0,3,0,1,6
hsa-miR-6769a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
hsa-miR-6769a-3p,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5,0,0,5,0,3,0,0,0,0,0,0,0,11
hsa-miR-6770-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-6771-5p,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
hsa-miR-6772-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
hsa-miR-6772-3p,25,0,9,49,9,0,23,0,5,12,0,0,3,0,2,20,17,0,9,5,0,0,18,31,5,4,15,1,0,0,14,8,1
hsa-miR-6773-3p,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6774-3p,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-6775-5p,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
hsa-miR-6775-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-6776-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6776-3p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6777-5p,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,2,8,0,0,0,4,0,0,0,2,8,2,0,0,2
hsa-miR-6779-5p,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
hsa-miR-6780a-5p,0,0,0,70,21,31,9,40,16,56,74,12,5,33,0,57,3,0,5,4,121,0,11,6,13,28,24,11,7,18,7,24,5
hsa-miR-6781-5p,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
hsa-miR-6781-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6782-5p,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
hsa-miR-6782-3p,0,0,0,0,5,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,4,4,0
hsa-miR-6783-5p,24,0,0,11,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,192,0,0,2,6,8,6,15,4,0,0,4
hsa-miR-6783-3p,0,0,0,0,6,2,0,0,7,0,22,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,10,7,11,2
hsa-miR-6784-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-6785-5p,0,0,0,0,1,0,19,26,0,0,13,2,1,12,0,0,15,4,14,7,0,0,0,0,6,8,12,0,0,6,0,0,2
hsa-miR-6785-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6786-5p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6786-3p,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,2,3,4,0,7,0,0,17,0,5,7
hsa-miR-6787-5p,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
hsa-miR-6787-3p,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6788-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
hsa-miR-6788-3p,0,0,0,0,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6789-5p,0,7,0,90,4,0,22,37,14,0,26,0,1,0,7,0,0,0,12,18,0,0,13,10,14,73,14,5,117,3,11,7,12
hsa-miR-6789-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-6790-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6790-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
hsa-miR-6791-3p,0,0,0,12,0,13,6,0,0,0,0,0,2,0,2,0,0,0,10,0,0,0,7,2,0,0,8,0,9,5,5,1,0
hsa-miR-6792-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
hsa-miR-6793-5p,0,0,16,10,4,0,6,0,0,2,22,0,2,0,0,0,0,1,6,12,0,0,6,7,1,0,19,16,0,10,6,2,10
hsa-miR-6793-3p,0,0,0,17,3,8,0,0,0,0,0,7,1,0,0,0,0,0,0,0,121,0,11,5,3,0,0,0,0,0,0,1,0
hsa-miR-6794-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6794-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-6795-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
hsa-miR-6795-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-6796-5p,0,0,0,0,0,0,0,0,0,0,0,6,1,8,3,0,0,4,3,0,0,0,0,0,2,0,0,7,0,0,0,0,1
hsa-miR-6796-3p,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6797-5p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6797-3p,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6798-3p,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,2,3,11,0,0,0,1,0,0
hsa-miR-6799-3p,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0
hsa-miR-6800-3p,0,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4
hsa-miR-6801-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
hsa-miR-6801-3p,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-6802-5p,0,0,7,9,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0
hsa-miR-6802-3p,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-6803-5p,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6803-3p,32,3,23,26,50,20,33,0,4,11,0,0,24,23,10,0,49,6,27,24,150,206,155,40,35,7,16,0,6,19,7,16,65
hsa-miR-6804-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-6805-5p,14,0,0,0,12,39,2,22,4,38,25,3,5,24,3,0,7,2,2,13,0,0,3,5,0,3,7,11,17,18,7,28,6
hsa-miR-6806-3p,37,0,0,0,0,0,3,0,6,0,21,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,12,2,7,0
hsa-miR-6807-5p,0,0,0,12,3,8,15,0,0,10,0,5,0,0,0,0,15,0,1,0,0,0,0,2,7,10,0,5,0,0,0,1,0
hsa-miR-6809-5p,0,0,0,0,0,0,3,0,0,0,16,0,2,0,1,0,0,1,3,0,0,0,0,1,0,5,0,4,0,0,0,0,4
hsa-miR-6809-3p,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
hsa-miR-6810-5p,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,1
hsa-miR-6810-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6812-5p,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
hsa-miR-6812-3p,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6813-5p,0,0,0,0,9,12,13,0,5,0,0,1,3,23,8,0,45,3,7,0,0,0,10,9,11,11,22,2,0,0,0,8,10
hsa-miR-6815-5p,0,0,0,0,0,0,0,0,3,0,8,0,1,0,5,0,0,0,0,0,0,0,3,3,0,11,6,0,0,1,5,0,0
hsa-miR-6815-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
hsa-miR-6817-3p,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6818-3p,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
hsa-miR-6819-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,109,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6819-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hsa-miR-6820-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6820-3p,0,0,0,0,9,12,0,0,0,3,30,0,0,0,1,0,0,3,8,7,0,0,21,18,10,0,0,0,20,0,7,3,13
hsa-miR-6821-5p,0,0,0,0,0,1,0,37,19,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,7,0,2,5,0,0,3,0
