"y","x","P_trans","t_adj"
"ALT","adipocyte",0.768780451071971,""
"ALT","artery",0.0845649640339374,""
"ALT","bladder",0.256404390145327,""
"ALT","bone",0.490152426820368,""
"ALT","bowel",0.145499077091925,""
"ALT","brain",0.324186469819578,""
"ALT","heart",0.233247022006332,""
"ALT","kidney",1.3667617014977,""
"ALT","liver",1.83166671246344,"1"
"ALT","lung",0.104178820274147,""
"ALT","lymph node",0.0115245647607272,""
"ALT","nerve",0.419607582972162,""
"ALT","pancreas",0.872408637274851,""
"ALT","pleurae",1.23793563055045,""
"ALT","salivary gland",0.635536680125339,""
"ALT","skin",0.82257945826419,""
"ALT","spleen",2.8138181456622,"11"
"ALT","stomach",0.024009492995544,""
"AST","adipocyte",1.6821839018014,"1"
"AST","artery",0.336148744942716,""
"AST","bladder",0.2584104925962,""
"AST","bone",0.354965231847811,""
"AST","bowel",0.224195329039457,""
"AST","brain",0.439123265063647,""
"AST","heart",0.034715885021095,""
"AST","kidney",1.77781812548874,"1"
"AST","liver",0.994834469113952,""
"AST","lung",0.46241464829935,""
"AST","lymph node",0.176462301784053,""
"AST","nerve",0.144773464009929,""
"AST","pancreas",0.220150299179407,""
"AST","pleurae",0.568268289571219,""
"AST","salivary gland",0.550039004506677,""
"AST","skin",0.536822055738444,""
"AST","spleen",2.38310812044445,"1"
"AST","stomach",0.858184789031973,""
"Cognitive impairment","adipocyte",3.62788601697251,"111"
"Cognitive impairment","artery",0.687564491746778,""
"Cognitive impairment","bladder",0.900543281741999,""
"Cognitive impairment","bone",0.202469529690252,""
"Cognitive impairment","bowel",0.503328263331931,""
"Cognitive impairment","brain",0.0811370208725053,""
"Cognitive impairment","heart",0.422104496688207,""
"Cognitive impairment","kidney",0.23977343442994,""
"Cognitive impairment","liver",7.86743244434699,"111"
"Cognitive impairment","lung",0.205579784528261,""
"Cognitive impairment","lymph node",0.195677191153511,""
"Cognitive impairment","nerve",0.291990925071026,""
"Cognitive impairment","pancreas",0.983213669076001,""
"Cognitive impairment","pleurae",0.495857851725107,""
"Cognitive impairment","salivary gland",0.228834155556545,""
"Cognitive impairment","skin",0.537370170289231,""
"Cognitive impairment","spleen",0.194277157634581,""
"Cognitive impairment","stomach",0.432567346861674,""
"%body fat","adipocyte",1.18991920551238,"1"
"%body fat","artery",0.358466829398195,""
"%body fat","bladder",0.854179888506759,""
"%body fat","bone",0.146718178708816,""
"%body fat","bowel",1.72321573599607,"1"
"%body fat","brain",0.325143212296462,""
"%body fat","heart",0.120530013453974,""
"%body fat","kidney",1.86077559278299,"1"
"%body fat","liver",0.652892089513254,""
"%body fat","lung",0.0100486177152542,""
"%body fat","lymph node",1.39648917523837,"1"
"%body fat","nerve",1.08747542124539,""
"%body fat","pancreas",1.36406920663817,"1"
"%body fat","pleurae",0.106713035602536,""
"%body fat","salivary gland",0.187210928595919,""
"%body fat","skin",0.175984568088947,""
"%body fat","spleen",3.12243843550453,"11"
"%body fat","stomach",0.730318236061806,""
"BMI","adipocyte",1.10024172258971,""
"BMI","artery",0.244676874826727,""
