"lung","yr_df.1st","fit","lwr","upr"
1.11356828527535,-6,1.83245845347024,1.5914784791068,2.07343842783368
0.451136889539764,-3,2.07490738607422,1.9544173988925,2.19539737325594
2.54115418723194,0,2.3173563186782,2.3173563186782,2.3173563186782
0.959149804723869,-9,1.59000952086626,1.2285395593211,1.95147948241142
1.95009262555546,-9,1.59000952086626,1.2285395593211,1.95147948241142
1.66937959368881,-3,2.07490738607422,1.9544173988925,2.19539737325594
3.15491240148896,0,2.3173563186782,2.3173563186782,2.3173563186782
2.84357563429622,0,2.3173563186782,2.3173563186782,2.3173563186782
1.73552278820281,-6,1.83245845347024,1.5914784791068,2.07343842783368
2.40995442957884,-9,1.59000952086626,1.2285395593211,1.95147948241142
2.66233082286065,0,2.3173563186782,2.3173563186782,2.3173563186782
2.84614107591764,0,2.3173563186782,2.3173563186782,2.3173563186782
0.892905526238764,-9,1.59000952086626,1.2285395593211,1.95147948241142
2.14367245344053,-5,1.91327476433823,1.71245811903537,2.1140914096411
2.2018710141826,-2,2.15572369694221,2.07539703882106,2.23605035506336
3.359991609394,0,2.3173563186782,2.3173563186782,2.3173563186782
2.09488055537905,-6,1.83245845347024,1.5914784791068,2.07343842783368
1.1132454483411,-8,1.67082583173425,1.34951919924967,1.99213246421884
1.85291812073165,-5,1.91327476433823,1.71245811903537,2.1140914096411
1.64606160706019,-3,2.07490738607422,1.9544173988925,2.19539737325594
0.815283173768646,0,2.3173563186782,2.3173563186782,2.3173563186782
1.54595895804691,0,2.3173563186782,2.3173563186782,2.3173563186782
1.54248937201183,-10,1.50919320999826,1.10755991939253,1.910826500604
1.68538173249499,-6,1.83245845347024,1.5914784791068,2.07343842783368
1.50420105875143,-5,1.91327476433823,1.71245811903537,2.1140914096411
3.02136625981152,-2,2.15572369694221,2.07539703882106,2.23605035506336
2.40575608726725,0,2.3173563186782,2.3173563186782,2.3173563186782
2.22303219208122,-7,1.75164214260224,1.47049883917823,2.03278544602626
2.66366149833124,-4,1.99409107520622,1.83343775896393,2.15474439144852
2.73940411188149,-6,1.83245845347024,1.5914784791068,2.07343842783368
3.54657509625387,0,2.3173563186782,2.3173563186782,2.3173563186782
0.610306127054955,-8,1.67082583173425,1.34951919924967,1.99213246421884
2.82635124401926,-3,2.07490738607422,1.9544173988925,2.19539737325594
1.79695055213437,0,2.3173563186782,2.3173563186782,2.3173563186782
2.87580680208623,-10,1.50919320999826,1.10755991939253,1.910826500604
1.8934095479805,-5,1.91327476433823,1.71245811903537,2.1140914096411
1.31111776983839,-10,1.50919320999826,1.10755991939253,1.910826500604
2.58853242896395,-3,2.07490738607422,1.9544173988925,2.19539737325594
2.94031606869673,0,2.3173563186782,2.3173563186782,2.3173563186782
1.21039028385462,-9,1.59000952086626,1.2285395593211,1.95147948241142
2.67172633065319,0,2.3173563186782,2.3173563186782,2.3173563186782
1.3326160504201,-9,1.59000952086626,1.2285395593211,1.95147948241142
2.34601718605338,-3,2.07490738607422,1.9544173988925,2.19539737325594
2.22316881496121,0,2.3173563186782,2.3173563186782,2.3173563186782
2.86246351348873,-3,2.07490738607422,1.9544173988925,2.19539737325594
0.599094854951359,0,2.3173563186782,2.3173563186782,2.3173563186782
1.12476543092823,0,2.3173563186782,2.3173563186782,2.3173563186782
2.47988733473668,-2,2.15572369694221,2.07539703882106,2.23605035506336
0.58094381469073,3,2.14458995658683,2.0509537409528,2.23822617222087
0.641637501589739,10,1.74146844504032,1.4293477262602,2.05358916382044
1.37685381738747,10,1.74146844504032,1.4293477262602,2.05358916382044
3.36299114925011,9,1.79905723240411,1.518148585502,2.07996587930621
1.62219540047432,6,1.97182359449547,1.7845511632274,2.15909602576354
1.54734835182222,6,1.97182359449547,1.7845511632274,2.15909602576354
2.04467108893992,3,2.14458995658683,2.0509537409528,2.23822617222087
2.00362281110507,5,2.02941238185926,1.8733520224692,2.18547274124932
2.88453118158851,6,1.97182359449547,1.7845511632274,2.15909602576354
2.54115418723194,0,2.3173563186782,2.3173563186782,2.3173563186782
1.51823024737768,9,1.79905723240411,1.518148585502,2.07996587930621
3.15491240148896,0,2.3173563186782,2.3173563186782,2.3173563186782
2.84357563429622,0,2.3173563186782,2.3173563186782,2.3173563186782
0.860899894322465,3,2.14458995658683,2.0509537409528,2.23822617222087
2.43816013089402,6,1.97182359449547,1.7845511632274,2.15909602576354
2.91227033076566,3,2.14458995658683,2.0509537409528,2.23822617222087
1.90475813685474,10,1.74146844504032,1.4293477262602,2.05358916382044
0.927637703165085,8,1.85664601976789,1.6069494447438,2.10634259479199
1.811407238934,7,1.91423480713168,1.6957503039856,2.13271931027777
1.9343525602746,6,1.97182359449547,1.7845511632274,2.15909602576354
0.296709378323709,7,1.91423480713168,1.6957503039856,2.13271931027777
1.85543947781224,9,1.79905723240411,1.518148585502,2.07996587930621
1.39313833104543,9,1.79905723240411,1.518148585502,2.07996587930621
3.2631346608885,9,1.79905723240411,1.518148585502,2.07996587930621
0.500561176034487,6,1.97182359449547,1.7845511632274,2.15909602576354
0.335382765664893,9,1.79905723240411,1.518148585502,2.07996587930621
2.66233082286065,0,2.3173563186782,2.3173563186782,2.3173563186782
1.38925019015009,3,2.14458995658683,2.0509537409528,2.23822617222087
3.52340813808006,9,1.79905723240411,1.518148585502,2.07996587930621
2.29454504213235,6,1.97182359449547,1.7845511632274,2.15909602576354
1.96632569797809,8,1.85664601976789,1.6069494447438,2.10634259479199
1.34044957107573,9,1.79905723240411,1.518148585502,2.07996587930621
0.882958928999969,3,2.14458995658683,2.0509537409528,2.23822617222087
