"y","x","P_trans","t_adj"
"adipocyte","adipocyte",0.0425507722186944,""
"adipocyte","bone",0.524381424054261,""
"adipocyte","bowel",0.435313792032992,""
"adipocyte","brain",0.699107971714993,""
"adipocyte","heart",1.53460410526854,"1"
"adipocyte","liver",2.78354155770624,"11"
"adipocyte","lung",1.66850857475992,"1"
"adipocyte","lymph node",0.0531760938641995,""
"adipocyte","pleurae",1.21954370758723,"1"
"adipocyte","spleen",0.0929626723677651,""
"bone","adipocyte",0.399952032615372,""
"bone","bone",1.98346904271423,"11"
"bone","bowel",3.52313536221536,"111"
"bone","brain",4.90326219152854,"111"
"bone","heart",2.66475954887296,"111"
"bone","liver",0.0721127188741464,""
"bone","lung",3.36660108935135,"111"
"bone","lymph node",0.0307653756885643,""
"bone","pleurae",2.97304495888693,"111"
"bone","spleen",3.27268665350022,"111"
"bowel","adipocyte",1.41629977797675,"1"
"bowel","bone",0.0937026569428864,""
"bowel","bowel",1.25911083601793,"1"
"bowel","brain",0.769184659079716,""
"bowel","heart",0.35364054438051,""
"bowel","liver",5.80152584740293,"111"
"bowel","lung",0.448293797245112,""
"bowel","lymph node",0.642822551822097,""
"bowel","pleurae",0.0406755776787998,""
"bowel","spleen",1.42032782382526,"1"
"brain","adipocyte",0.916319569945167,""
"brain","bone",0.757474350027769,""
"brain","bowel",0.738071336500629,""
"brain","brain",0.505142645079792,""
"brain","heart",0.784778068050687,""
"brain","liver",1.63018851672143,""
"brain","lung",0.0592773755454245,""
"brain","lymph node",0.498306591023366,""
"brain","pleurae",0.16762388151094,""
"brain","spleen",0.0774611555119034,""
"heart","adipocyte",0.0337016814175977,""
"heart","bone",1.24459769186979,""
"heart","bowel",0.00951183197421624,""
"heart","brain",1.04765586841411,""
"heart","heart",0.859642288395642,""
"heart","liver",1.9837176679775,"1"
"heart","lung",0.198231833483385,""
"heart","lymph node",0.339699074430473,""
"heart","pleurae",0.178524779801603,""
"heart","spleen",0.398824267344913,""
"liver","adipocyte",0.0747999172857688,""
"liver","bone",6.47980730891397,"111"
"liver","bowel",3.52676618398482,"111"
"liver","brain",10,"111"
"liver","heart",3.89529158216658,"111"
"liver","liver",0.302408762642561,""
"liver","lung",5.28436604982094,"111"
"liver","lymph node",0.367085401917865,""
"liver","pleurae",5.44985117178067,"111"
"liver","spleen",3.49098963767386,"111"
"lung","adipocyte",0.564499570157083,""
"lung","bone",2.43644325933818,"11"
"lung","bowel",0.635823927168528,""
"lung","brain",3.3967305758992,"111"
"lung","heart",1.44209666133782,"1"
"lung","liver",1.2184819979074,"1"
"lung","lung",2.51731481268096,"11"
"lung","lymph node",0.040412679018216,""
"lung","pleurae",1.80920147956095,"11"
"lung","spleen",2.07595663104448,"11"
"lymph_node","adipocyte",0.906465910227254,"1"
"lymph_node","bone",2.97756162526413,"111"
"lymph_node","bowel",1.55291319255631,"11"
"lymph_node","brain",6.07576642554596,"111"
"lymph_node","heart",0.796080964659969,"1"
"lymph_node","liver",10,"111"
"lymph_node","lung",4.73217867393292,"111"
"lymph_node","lymph node",0.123003185758939,""
"lymph_node","pleurae",3.7608361247632,"111"
"lymph_node","spleen",0.658661910215138,""
"pleurae","adipocyte",0.739039733382947,""
"pleurae","bone",0.136268590454751,""
"pleurae","bowel",0.411826551473412,""
"pleurae","brain",0.170028150492096,""
"pleurae","heart",0.845220060068303,""
"pleurae","liver",4.2627429701746,"111"
"pleurae","lung",0.275715848415869,""
"pleurae","lymph node",0.258454597030035,""
"pleurae","pleurae",0.248246985829635,""
"pleurae","spleen",0.251373309531827,""
"spleen","adipocyte",0.758586562633721,""
"spleen","bone",4.24780381583828,"111"
"spleen","bowel",6.05853238540243,"111"
"spleen","brain",10,"111"
"spleen","heart",0.317748112554671,""
"spleen","liver",9.66469497555617,"111"
"spleen","lung",3.10202428351025,"111"
"spleen","lymph node",0.0681248770025914,""
"spleen","pleurae",4.37607534483267,"111"
"spleen","spleen",2.50436544617196,"111"
