"y","x","P_trans","t_adj"
"ALT","adipocyte",0.091884983754989,""
"ALT","artery",0.198898048165236,""
"ALT","bladder",0.69051743187351,""
"ALT","bone",0.308305757800321,""
"ALT","bowel",0.0458514292193759,""
"ALT","brain",0.114552299846405,""
"ALT","heart",1.16741060506371,""
"ALT","kidney",1.16778697122125,""
"ALT","liver",2.89321938139885,"11"
"ALT","lung",0.0322117741936588,""
"ALT","lymph node",0.111370541083999,""
"ALT","nerve",0.246994017126808,""
"ALT","pancreas",1.36297793755632,""
"ALT","pleurae",0.234034595023497,""
"ALT","salivary gland",0.601788389892083,""
"ALT","skin",0.241967538416292,""
"ALT","spleen",2.83751039808722,"11"
"ALT","stomach",0.387409082927473,""
"AST","adipocyte",0.11229259709835,""
"AST","artery",0.25625626348703,""
"AST","bladder",0.703728732574401,""
"AST","bone",0.41764278631614,""
"AST","bowel",0.139811883959129,""
"AST","brain",0.0888200053338752,""
"AST","heart",1.28515079808788,"1"
"AST","kidney",1.33532887794779,"1"
"AST","liver",1.86617954440855,"1"
"AST","lung",0.324479050528724,""
"AST","lymph node",0.116155268473061,""
"AST","nerve",0.0196440075874805,""
"AST","pancreas",1.78196116114166,"1"
"AST","pleurae",0.0492948948841474,""
"AST","salivary gland",0.513794252120721,""
"AST","skin",0.134001324762662,""
"AST","spleen",2.38105057571754,"1"
"AST","stomach",0.983006701796115,""
"Cognitive impairment","adipocyte",0.526695466796339,""
"Cognitive impairment","artery",0.938878384140307,""
"Cognitive impairment","bladder",1.08907833484842,""
"Cognitive impairment","bone",0.500815350993748,""
"Cognitive impairment","bowel",0.191554168919862,""
"Cognitive impairment","brain",0.224580309133803,""
"Cognitive impairment","heart",0.106241482863695,""
"Cognitive impairment","kidney",0.292029817351876,""
"Cognitive impairment","liver",5.47415815093218,"111"
"Cognitive impairment","lung",0.121279401439782,""
"Cognitive impairment","lymph node",0.0707034324521938,""
"Cognitive impairment","nerve",0.0903146184901118,""
"Cognitive impairment","pancreas",0.0297348802216457,""
"Cognitive impairment","pleurae",0.517693709502292,""
"Cognitive impairment","salivary gland",0.267931363765391,""
"Cognitive impairment","skin",0.24262530488061,""
"Cognitive impairment","spleen",0.16764750624839,""
"Cognitive impairment","stomach",0.482856654538504,""
"%body fat","adipocyte",0.103428436707307,""
"%body fat","artery",0.31999709272333,""
"%body fat","bladder",1.08020538002419,""
"%body fat","bone",0.298194160346501,""
"%body fat","bowel",1.52962695767127,"1"
"%body fat","brain",0.0682611652156089,""
"%body fat","heart",0.578871231816073,""
"%body fat","kidney",1.97633703575831,"1"
"%body fat","liver",0.0503575633928701,""
"%body fat","lung",0.283413788944239,""
"%body fat","lymph node",1.52024463077971,"1"
"%body fat","nerve",0.63586508529821,""
"%body fat","pancreas",3.93134386312369,"111"
"%body fat","pleurae",0.480643316023996,""
"%body fat","salivary gland",0.148832863219943,""
"%body fat","skin",1.10631521137892,""
"%body fat","spleen",3.18458756761523,"111"
"%body fat","stomach",0.941292280542516,""
"BMI","adipocyte",0.0613979698959097,""
"BMI","artery",0.400158408597366,""
"BMI","bladder",1.13004383372857,""
"BMI","bone",0.194779142310911,""
"BMI","bowel",1.60076670557032,"1"
"BMI","brain",0.00210887365868514,""
"BMI","heart",0.638961315939047,""
"BMI","kidney",2.01452128796184,"1"
"BMI","liver",0.0546104650420208,""
"BMI","lung",0.212491420374513,""
"BMI","lymph node",1.39772778359458,"1"
"BMI","nerve",0.701106212308581,""
"BMI","pancreas",3.92677592128385,"111"
"BMI","pleurae",0.376080844622795,""
"BMI","salivary gland",0.172206254391555,""
"BMI","skin",1.02768783440487,""
"BMI","spleen",3.34386257775518,"111"
"BMI","stomach",0.865982203869809,""
"Waist/height","adipocyte",0.133690664334418,""
"Waist/height","artery",0.0900869929481023,""
"Waist/height","bladder",0.509161335901139,""
"Waist/height","bone",0.989094390975213,""
"Waist/height","bowel",0.931281226494043,""
"Waist/height","brain",0.50137651410234,""
"Waist/height","heart",0.202052445976439,""
"Waist/height","kidney",1.09298099890327,""
"Waist/height","liver",0.217721134365952,""
"Waist/height","lung",0.816187510340387,""
"Waist/height","lymph node",0.827091103899578,""
"Waist/height","nerve",0.445617479130679,""
"Waist/height","pancreas",2.31557846106606,"11"
"Waist/height","pleurae",0.312169549917879,""
"Waist/height","salivary gland",0.325372128215886,""
"Waist/height","skin",0.487181429900422,""
"Waist/height","spleen",2.46747127224083,"11"
"Waist/height","stomach",0.284198346676839,""
"%lymphocytes","adipocyte",0.546291140945454,""
"%lymphocytes","artery",0.236087663060212,""
"%lymphocytes","bladder",0.543338136902445,""
"%lymphocytes","bone",0.123353878118069,""
"%lymphocytes","bowel",0.259284711114111,""
"%lymphocytes","brain",0.78557986188653,""
"%lymphocytes","heart",0.0889165662219803,""
"%lymphocytes","kidney",0.43188658435765,""
"%lymphocytes","liver",0.69222860607247,""
"%lymphocytes","lung",0.330712157196535,""
"%lymphocytes","lymph node",9.53432207666525,"111"
"%lymphocytes","nerve",3.14826607846216,"111"
"%lymphocytes","pancreas",0.00934186714569683,""
"%lymphocytes","pleurae",0.277088680708112,""
"%lymphocytes","salivary gland",1.55713374283195,"1"
"%lymphocytes","skin",2.2197912495149,"11"
"%lymphocytes","spleen",0.141064350448455,""
"%lymphocytes","stomach",3.36661106628257,"111"
"eGFR","adipocyte",0.963317216655137,""
"eGFR","artery",0.104609658911004,""
"eGFR","bladder",0.0699786393857859,""
"eGFR","bone",0.200288449693466,""
"eGFR","bowel",2.09412198894323,"1"
"eGFR","brain",1.30240150379139,""
"eGFR","heart",0.184456738416434,""
"eGFR","kidney",0.172511309803744,""
"eGFR","liver",0.0662519487022693,""
"eGFR","lung",0.564373202768628,""
"eGFR","lymph node",0.729205642692406,""
"eGFR","nerve",0.119596374272674,""
"eGFR","pancreas",0.933612946586978,""
"eGFR","pleurae",0.242868539246,""
"eGFR","salivary gland",0.351466329911994,""
"eGFR","skin",0.332163992285103,""
"eGFR","spleen",0.777028045405762,""
"eGFR","stomach",1.00233623791074,""
"Diabetes","adipocyte",0.0188934926340043,""
"Diabetes","artery",0.81239897575318,""
"Diabetes","bladder",1.89725610980869,"1"
"Diabetes","bone",1.16787371833277,""
"Diabetes","bowel",0.344067683516514,""
"Diabetes","brain",1.75135749166695,"1"
"Diabetes","heart",0.024584870184075,""
"Diabetes","kidney",0.859792209596135,""
"Diabetes","liver",0.34170673821854,""
"Diabetes","lung",0.0291987676911846,""
"Diabetes","lymph node",0.12571845836761,""
"Diabetes","nerve",0.64337919209606,""
"Diabetes","pancreas",0.373237117953792,""
"Diabetes","pleurae",0.491956729172343,""
"Diabetes","salivary gland",0.59521464414129,""
"Diabetes","skin",0.0984952696311398,""
"Diabetes","spleen",0.500990177125946,""
"Diabetes","stomach",0.239622702401196,""
"Fasting blood glucose","adipocyte",0.228376636254697,""
"Fasting blood glucose","artery",0.384120350119069,""
"Fasting blood glucose","bladder",0.539485642003946,""
"Fasting blood glucose","bone",2.04616575278902,"1"
"Fasting blood glucose","bowel",0.771147162103831,""
"Fasting blood glucose","brain",1.49474457353323,"1"
"Fasting blood glucose","heart",0.509336384192615,""
"Fasting blood glucose","kidney",0.417020066553124,""
"Fasting blood glucose","liver",0.310205925348299,""
"Fasting blood glucose","lung",0.533333633092913,""
"Fasting blood glucose","lymph node",0.0115457445702694,""
"Fasting blood glucose","nerve",0.834978757898189,""
"Fasting blood glucose","pancreas",0.120263371393167,""
"Fasting blood glucose","pleurae",2.05834579274012,"1"
"Fasting blood glucose","salivary gland",0.0764125794165169,""
"Fasting blood glucose","skin",0.0467602766908262,""
"Fasting blood glucose","spleen",0.316848358564101,""
"Fasting blood glucose","stomach",1.10712159661262,""
"Hemoglobin A1c","adipocyte",0.345992304367984,""
"Hemoglobin A1c","artery",1.01522658680365,""
"Hemoglobin A1c","bladder",1.01979065263624,""
"Hemoglobin A1c","bone",1.1931545667822,""
"Hemoglobin A1c","bowel",0.0766060082736672,""
"Hemoglobin A1c","brain",0.734806142298725,""
"Hemoglobin A1c","heart",0.110627178794696,""
"Hemoglobin A1c","kidney",0.829502760320551,""
"Hemoglobin A1c","liver",0.174989000814588,""
"Hemoglobin A1c","lung",0.16317904235182,""
"Hemoglobin A1c","lymph node",0.173676226145029,""
"Hemoglobin A1c","nerve",1.9343298350232,""
"Hemoglobin A1c","pancreas",0.600300806791088,""
"Hemoglobin A1c","pleurae",1.61868988726907,""
"Hemoglobin A1c","salivary gland",0.615405036409551,""
"Hemoglobin A1c","skin",0.491320031624701,""
"Hemoglobin A1c","spleen",0.00499467033987834,""
"Hemoglobin A1c","stomach",0.0498538167372694,""
"Fev1/fvc","adipocyte",0.434946727336223,""
"Fev1/fvc","artery",0.66092051558483,""
"Fev1/fvc","bladder",0.272255155394179,""
"Fev1/fvc","bone",1.0420690383679,""
"Fev1/fvc","bowel",0.992832438271199,""
"Fev1/fvc","brain",0.0202291058819614,""
"Fev1/fvc","heart",0.10313315550286,""
"Fev1/fvc","kidney",0.145843113626631,""
"Fev1/fvc","liver",0.140645691446843,""
"Fev1/fvc","lung",1.46861173557052,""
"Fev1/fvc","lymph node",0.136700662728647,""
"Fev1/fvc","nerve",0.57960787127777,""
"Fev1/fvc","pancreas",0.137527091430884,""
"Fev1/fvc","pleurae",0.628768267796541,""
"Fev1/fvc","salivary gland",0.165802857167846,""
"Fev1/fvc","skin",1.981205953241,"1"
"Fev1/fvc","spleen",0.224613292832688,""
"Fev1/fvc","stomach",0.759257242260172,""
"Lung diseases","adipocyte",0.0215959194842878,""
"Lung diseases","artery",1.10964071572867,""
"Lung diseases","bladder",0.0428393579405162,""
"Lung diseases","bone",0.298914005786033,""
"Lung diseases","bowel",0.192965279085389,""
"Lung diseases","brain",0.513132267186606,""
"Lung diseases","heart",0.361932961244375,""
"Lung diseases","kidney",1.70561112722012,""
"Lung diseases","liver",0.512547072475855,""
"Lung diseases","lung",0.098743696273541,""
"Lung diseases","lymph node",1.15406981350425,""
"Lung diseases","nerve",0.0110065708798884,""
"Lung diseases","pancreas",0.321696200023558,""
"Lung diseases","pleurae",0.324251651662307,""
