"brain","yr_dif","fit","lwr","upr"
1.3348664711732,-3,1.13173166945592,1.03360786529435,1.2298554736175
0.750731811151862,0,1.05879003610927,1.05879003610927,1.05879003610927
1.86931934268957,0,1.05879003610927,1.05879003610927,1.05879003610927
0.920185019328682,-1,1.08310391389149,1.05039597917097,1.11581184861202
1.09289184396811,0,1.05879003610927,1.05879003610927,1.05879003610927
1.51814461196893,-9,1.27761493614923,0.98324352366451,1.57198634863394
1.31239773857067,-3,1.13173166945592,1.03360786529435,1.2298554736175
0.0221682115704753,0,1.05879003610927,1.05879003610927,1.05879003610927
1.06467368213283,0,1.05879003610927,1.05879003610927,1.05879003610927
1.19035108058707,-5,1.18035942502036,1.01681975141774,1.34389909862298
1.81665672896891,-10,1.30192881393144,0.974849466726203,1.62900816113668
1.15750397904297,-4,1.15604554723814,1.02521380835605,1.28687728612024
2.21683501129009,-1,1.08310391389149,1.05039597917097,1.11581184861202
1.12861307782226,-7,1.22898718058479,1.00003163754112,1.45794272362846
1.68670750660093,-1,1.08310391389149,1.05039597917097,1.11581184861202
0.679989934140476,-6,1.20467330280258,1.00842569447943,1.40092091112572
1.30687100520366,-3,1.13173166945592,1.03360786529435,1.2298554736175
1.33086316997118,0,1.05879003610927,1.05879003610927,1.05879003610927
1.45524056812943,-3,1.13173166945592,1.03360786529435,1.2298554736175
2.01105591648942,-7,1.22898718058479,1.00003163754112,1.45794272362846
1.08645995095062,0,1.05879003610927,1.05879003610927,1.05879003610927
0.246290648821825,-10,1.30192881393144,0.974849466726203,1.62900816113668
1.54377290450921,-10,1.30192881393144,0.974849466726203,1.62900816113668
1.67986333890913,-7,1.22898718058479,1.00003163754112,1.45794272362846
0.433461080809179,-2,1.10741779167371,1.04200192223266,1.17283366111476
0.649046039116046,-8,1.25330105836701,0.991637580602817,1.5149645361312
1.25625182081931,0,1.05879003610927,1.05879003610927,1.05879003610927
0.580295063958136,-2,1.10741779167371,1.04200192223266,1.17283366111476
0.526905205134331,-3,1.13173166945592,1.03360786529435,1.2298554736175
1.0557504917295,0,1.05879003610927,1.05879003610927,1.05879003610927
1.09118727732463,-10,1.30192881393144,0.974849466726203,1.62900816113668
1.46920271658775,-7,1.22898718058479,1.00003163754112,1.45794272362846
1.11930015399449,-4,1.15604554723814,1.02521380835605,1.28687728612024
1.4594217866422,-5,1.18035942502036,1.01681975141774,1.34389909862298
1.07980278485323,-1,1.08310391389149,1.05039597917097,1.11581184861202
1.68052655169896,6,1.30579149051014,1.17095054001357,1.44063244100672
1.72005047500552,3,1.18229076330971,1.11487028806142,1.249711238558
1.76839702739586,10,1.47045912677739,1.2457242092831,1.69519404427168
0.515344940113709,6,1.30579149051014,1.17095054001357,1.44063244100672
0.750731811151862,0,1.05879003610927,1.05879003610927,1.05879003610927
1.74744595802469,4,1.22345767237652,1.1335637053788,1.31335163937424
1.75635094149802,7,1.34695839957695,1.18964395733095,1.50427284182296
1.86931934268957,0,1.05879003610927,1.05879003610927,1.05879003610927
1.62394232794354,7,1.34695839957695,1.18964395733095,1.50427284182296
1.38046732052647,1,1.09995694517609,1.07748345342666,1.12243043692551
1.17821422231924,5,1.26462458144333,1.15225712269619,1.37699204019048
0.697458889259663,8,1.38812530864376,1.20833737464833,1.5679132426392
1.4007298738081,2,1.1411238542429,1.09617687074404,1.18607083774176
1.55302233997915,2,1.1411238542429,1.09617687074404,1.18607083774176
1.17048634692256,2,1.1411238542429,1.09617687074404,1.18607083774176
2.0629392238036,5,1.26462458144333,1.15225712269619,1.37699204019048
1.63228788591895,8,1.38812530864376,1.20833737464833,1.5679132426392
1.54713372544072,5,1.26462458144333,1.15225712269619,1.37699204019048
1.09289184396811,0,1.05879003610927,1.05879003610927,1.05879003610927
1.68703985883929,3,1.18229076330971,1.11487028806142,1.249711238558
0.730189100219102,6,1.30579149051014,1.17095054001357,1.44063244100672
0.0221682115704753,0,1.05879003610927,1.05879003610927,1.05879003610927
1.44789624995611,4,1.22345767237652,1.1335637053788,1.31335163937424
1.39393326668361,8,1.38812530864376,1.20833737464833,1.5679132426392
1.06467368213283,0,1.05879003610927,1.05879003610927,1.05879003610927
1.29552827496372,4,1.22345767237652,1.1335637053788,1.31335163937424
1.02416969114604,8,1.38812530864376,1.20833737464833,1.5679132426392
1.51051671843856,6,1.30579149051014,1.17095054001357,1.44063244100672
1.36267861532851,10,1.47045912677739,1.2457242092831,1.69519404427168
1.71623231974655,3,1.18229076330971,1.11487028806142,1.249711238558
1.07925914266484,2,1.1411238542429,1.09617687074404,1.18607083774176
2.08971879849887,5,1.26462458144333,1.15225712269619,1.37699204019048
1.36856849878926,2,1.1411238542429,1.09617687074404,1.18607083774176
0.568747173514483,5,1.26462458144333,1.15225712269619,1.37699204019048
0.674971666502068,4,1.22345767237652,1.1335637053788,1.31335163937424
0.27941101675389,5,1.26462458144333,1.15225712269619,1.37699204019048
0.89920187762719,3,1.18229076330971,1.11487028806142,1.249711238558
1.75023416462685,6,1.30579149051014,1.17095054001357,1.44063244100672
1.4433313193783,9,1.42929221771058,1.22703079196571,1.63155364345544
2.09938405207876,2,1.1411238542429,1.09617687074404,1.18607083774176
1.05703557225894,6,1.30579149051014,1.17095054001357,1.44063244100672
0.96597470089585,3,1.18229076330971,1.11487028806142,1.249711238558
0.712929390614771,1,1.09995694517609,1.07748345342666,1.12243043692551
1.76163183209157,3,1.18229076330971,1.11487028806142,1.249711238558
1.75645463336072,6,1.30579149051014,1.17095054001357,1.44063244100672
1.29731152333718,2,1.1411238542429,1.09617687074404,1.18607083774176
