"y","x","P_trans","t_adj"
"skin","lung",0.36883592709046,""
"skin","lymph node",0.323898782896122,""
"skin","pleurae",10,"111"
"skin","salivary gland",9.96079475517747,"111"
"skin","skin",7.4582044409669,"111"
"skin","spleen",3.03632374309707,"111"
"skin","stomach",4.04077078657484,"111"
"stomach","adipocyte",0.0354152270443459,""
"stomach","artery",4.889024875029,"111"
"stomach","bladder",1.66833619443155,"11"
"stomach","bone",1.22696827522109,"1"
"stomach","bowel",1.19540499004953,"1"
"stomach","brain",7.25181374115825,"111"
"stomach","heart",6.10328485980763,"111"
"stomach","kidney",5.29679050363775,"111"
"stomach","liver",8.45881140937407,"111"
"stomach","lung",0.54431259553662,""
"stomach","lymph node",0.1264534026969,""
"stomach","pleurae",10,"111"
"stomach","salivary gland",5.05134973871685,"111"
"stomach","skin",5.21989434750153,"111"
"stomach","spleen",2.26440430073204,"111"
"stomach","stomach",2.00826783332341,"11"
"kidney","adipocyte",1.42310689320619,"1"
"kidney","artery",4.20016108859525,"111"
"kidney","bladder",0.338586913833564,""
"kidney","bone",1.60543935502451,"1"
"kidney","bowel",0.550015574315298,""
"kidney","brain",5.3593249877633,"111"
"kidney","heart",0.56680743662606,""
"kidney","kidney",1.9387211659992,"11"
"kidney","liver",1.5339742752417,"1"
"kidney","lung",3.40485603551921,"111"
"kidney","lymph node",0.131222762291291,""
"kidney","pleurae",0.758462065735407,""
"kidney","salivary gland",2.040086140442,"11"
"kidney","skin",0.854632258828525,""
"kidney","spleen",1.25579306941363,"1"
"kidney","stomach",1.60979300091452,"1"
"liver","adipocyte",1.10330925735734,"1"
"liver","artery",7.80502555224291,"111"
"liver","bladder",10,"111"
"liver","bone",7.24084701929815,"111"
"liver","bowel",7.65951765447013,"111"
"liver","brain",10,"111"
"liver","heart",10,"111"
"liver","kidney",6.57583953014169,"111"
"liver","liver",10,"111"
"liver","lung",0.982424244353498,"1"
"liver","lymph node",0.239472745638098,""
"liver","pleurae",10,"111"
"liver","salivary gland",10,"111"
"liver","skin",10,"111"
"liver","spleen",1.37222770702478,"1"
"liver","stomach",3.96519598065313,"111"
"lung","adipocyte",1.02188927062688,"1"
"lung","artery",4.65212531370304,"111"
"lung","bladder",2.67574307873361,"111"
"lung","bone",2.97831774976635,"111"
"lung","bowel",0.93853103165709,"1"
"lung","brain",3.04912181865502,"111"
"lung","heart",1.29201419676075,"1"
"lung","kidney",4.1146925925951,"111"
"lung","liver",10,"111"
"lung","lung",2.87604381664799,"111"
"lung","lymph node",1.16173500448747,"1"
"lung","pleurae",0.666306258461106,""
"lung","salivary gland",2.83466412953969,"111"
"lung","skin",1.16081083553155,"1"
"lung","spleen",1.17776220266351,"1"
"lung","stomach",0.9903393603576,"1"
"heart","adipocyte",0.485428666561976,""
"heart","artery",0.0349433708081035,""
"heart","bladder",0.20398259259211,""
"heart","bone",1.28012262178075,""
"heart","bowel",0.561270378059075,""
"heart","brain",0.0525245900156464,""
"heart","heart",0.182986478067628,""
"heart","kidney",0.166422644416905,""
"heart","liver",0.312821304590034,""
"heart","lung",1.27713351116112,""
"heart","lymph node",0.452813947822225,""
"heart","pleurae",0.604209042780532,""
"heart","salivary gland",0.446684936949836,""
"heart","skin",0.476155829586612,""
"heart","spleen",0.459750162185077,""
"heart","stomach",0.235160149141124,""
"bowel","adipocyte",0.296405143505824,""
"bowel","artery",0.941159703726123,""
"bowel","bladder",0.0117414491953015,""
"bowel","bone",0.510691626077793,""
"bowel","bowel",2.30307761452177,"11"
"bowel","brain",5.70605576738778,"111"
"bowel","heart",0.75286876308293,""
"bowel","kidney",1.3159088079652,"1"
"bowel","liver",8.59873118236506,"111"
"bowel","lung",3.89147914995283,"111"
"bowel","lymph node",0.306070714541244,""
"bowel","pleurae",0.816585284690045,""
"bowel","salivary gland",0.958376885532198,""
"bowel","skin",0.898153900449988,""
