"heart","yr_dif","fit","lwr","upr"
1.34275402379566,-10,1.34955529236194,1.1275710083557,1.57153957636818
1.25807967330252,-10,1.34955529236194,1.1275710083557,1.57153957636818
3.60763628068729,-10,1.34955529236194,1.1275710083557,1.57153957636818
1.61871719548608,-10,1.34955529236194,1.1275710083557,1.57153957636818
1.41375017462655,-10,1.34955529236194,1.1275710083557,1.57153957636818
1.47967106604959,-10,1.34955529236194,1.1275710083557,1.57153957636818
1.68090030687564,-10,1.34955529236194,1.1275710083557,1.57153957636818
0.205194104763113,-10,1.34955529236194,1.1275710083557,1.57153957636818
0.47356584647491,-10,1.34955529236194,1.1275710083557,1.57153957636818
1.41811228212311,-10,1.34955529236194,1.1275710083557,1.57153957636818
1.48643031647605,-9,1.35884005079785,1.17437112741572,1.54330897417999
1.43911322400806,-9,1.35884005079785,1.17437112741572,1.54330897417999
1.83001545744989,-9,1.35884005079785,1.17437112741572,1.54330897417999
1.08165370430857,-9,1.35884005079785,1.17437112741572,1.54330897417999
1.69548575772457,-9,1.35884005079785,1.17437112741572,1.54330897417999
0.997760488432758,-9,1.35884005079785,1.17437112741572,1.54330897417999
1.74924199404878,-9,1.35884005079785,1.17437112741572,1.54330897417999
0.618160516651424,-9,1.35884005079785,1.17437112741572,1.54330897417999
1.35540659361953,-9,1.35884005079785,1.17437112741572,1.54330897417999
0.268833588553768,-8,1.36812480923377,1.21838934878707,1.51786026968047
0.836971132791209,-8,1.36812480923377,1.21838934878707,1.51786026968047
1.28055992019072,-8,1.36812480923377,1.21838934878707,1.51786026968047
1.42566677699358,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.79006752945541,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.06670441165436,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.00311549986651,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.33177474219784,-7,1.37740956766968,1.25718978722557,1.49762934811379
2.5892947012357,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.56995840725551,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.11942898105022,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.81159722199287,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.09695125094086,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.58505218746174,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.19736711119969,-7,1.37740956766968,1.25718978722557,1.49762934811379
2.30064948937484,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.29168376566936,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.32090281742967,-7,1.37740956766968,1.25718978722557,1.49762934811379
0.943639411530263,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.27367226407832,-7,1.37740956766968,1.25718978722557,1.49762934811379
1.39979451699437,-6,1.3866943261056,1.28607103765658,1.48731761455462
0.0781051368350929,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.32383070628988,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.46028215454492,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.78753283922622,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.18255840942122,-6,1.3866943261056,1.28607103765658,1.48731761455462
0.949508631793628,-6,1.3866943261056,1.28607103765658,1.48731761455462
0.927587577655266,-6,1.3866943261056,1.28607103765658,1.48731761455462
0.841481525639849,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.24108983450364,-6,1.3866943261056,1.28607103765658,1.48731761455462
2.16774620592294,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.4286969385269,-6,1.3866943261056,1.28607103765658,1.48731761455462
2.97479580470441,-6,1.3866943261056,1.28607103765658,1.48731761455462
0.822062968264121,-6,1.3866943261056,1.28607103765658,1.48731761455462
2.30685680474407,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.50541861612895,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.62799182183187,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.40629715223004,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.75573921227678,-6,1.3866943261056,1.28607103765658,1.48731761455462
1.13095092747097,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.6594303988395,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.38947808975349,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.69961652199555,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.34700550816722,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.08099569662906,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.982356105692,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.07686591584117,-5,1.39597908454151,1.29883249520364,1.49312567387939
0.14665654018961,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.76930199657215,-5,1.39597908454151,1.29883249520364,1.49312567387939
0.429845974925075,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.08111739005473,-5,1.39597908454151,1.29883249520364,1.49312567387939
0.463008571922076,-5,1.39597908454151,1.29883249520364,1.49312567387939
0.872964345341747,-5,1.39597908454151,1.29883249520364,1.49312567387939
1.32260171399151,-4,1.40526384297743,1.29395330198921,1.51657438396565
2.21784342781623,-4,1.40526384297743,1.29395330198921,1.51657438396565
1.45603064068591,-4,1.40526384297743,1.29395330198921,1.51657438396565
1.2381848899659,-4,1.40526384297743,1.29395330198921,1.51657438396565
0.818700697522604,-4,1.40526384297743,1.29395330198921,1.51657438396565
1.20541509882961,-4,1.40526384297743,1.29395330198921,1.51657438396565
1.52452267744793,-4,1.40526384297743,1.29395330198921,1.51657438396565
