"y","x","P_trans","t_adj"
"bladder","adipocyte",0.650006755911889,""
"bladder","artery",1.23118952844727,"1"
"bladder","bladder",0.244466853311307,""
"bladder","bone",2.81469426713631,"111"
"bladder","bowel",1.20087967626092,"1"
"bladder","brain",1.32542996064868,"1"
"bladder","heart",0.324844248492574,""
"bladder","kidney",1.53927271820248,"1"
"bladder","liver",0.270258885478084,""
"bladder","lung",0.457330109400139,""
"bladder","lymph node",1.18675730466018,"1"
"bladder","nerve",10,"111"
"bladder","pancreas",5.12319242684508,"111"
"bladder","pleurae",1.52526727490055,"1"
"bladder","salivary gland",0.169823210093493,""
"bladder","skin",0.158738915596319,""
"bladder","spleen",0.568163758664005,""
"bladder","stomach",0.388958095359273,""
"lymph_node","adipocyte",1.53298660396312,"1"
"lymph_node","artery",6.02946403546146,"111"
"lymph_node","bladder",3.80099664736633,"111"
"lymph_node","bone",0.225283205413025,""
"lymph_node","bowel",8.98082825692551,"111"
"lymph_node","brain",0.0977002667134358,""
"lymph_node","heart",0.918274512636173,"1"
"lymph_node","kidney",6.8260271625789,"111"
"lymph_node","liver",1.0645439518487,"1"
"lymph_node","lung",0.44934522781835,""
"lymph_node","lymph node",10,"111"
"lymph_node","nerve",1.19509371028578,"1"
"lymph_node","pancreas",4.72490207517638,"111"
"lymph_node","pleurae",0.176201809730386,""
"lymph_node","salivary gland",1.47196130921211,"1"
"lymph_node","skin",8.67635709633187,"111"
"lymph_node","spleen",3.16596885040227,"111"
"lymph_node","stomach",7.80839969758266,"111"
"salivary_gland","adipocyte",0.310232556804684,""
"salivary_gland","artery",3.18882929467049,"111"
"salivary_gland","bladder",9.44052839280428,"111"
"salivary_gland","bone",10,"111"
"salivary_gland","bowel",10,"111"
"salivary_gland","brain",7.22989973283823,"111"
"salivary_gland","heart",0.0309645076738625,""
"salivary_gland","kidney",1.92510683789806,"11"
"salivary_gland","liver",0.0505213787952963,""
"salivary_gland","lung",10,"111"
"salivary_gland","lymph node",0.166211860247074,""
"salivary_gland","nerve",5.45289231455094,"111"
"salivary_gland","pancreas",10,"111"
"salivary_gland","pleurae",2.00051758590172,"11"
"salivary_gland","salivary gland",0.766448688554298,""
"salivary_gland","skin",4.72324396014734,"111"
"salivary_gland","spleen",8.27995030649726,"111"
"salivary_gland","stomach",1.25628814854748,"1"
"pleurae","adipocyte",0.393876232994898,""
"pleurae","artery",10,"111"
"pleurae","bladder",0.599710016073119,""
"pleurae","bone",0.800547683799378,""
"pleurae","bowel",0.242128966476163,""
"pleurae","brain",1.15083143012072,"1"
"pleurae","heart",0.0161090026691972,""
"pleurae","kidney",0.129490063874002,""
"pleurae","liver",0.460420554965241,""
"pleurae","lung",7.51473962660524,"111"
"pleurae","lymph node",1.41880404413348,"1"
"pleurae","nerve",0.336466429123466,""
"pleurae","pancreas",3.72971263080972,"111"
"pleurae","pleurae",0.368401409047752,""
"pleurae","salivary gland",1.25274787592913,"1"
"pleurae","skin",3.00794052988613,"111"
"pleurae","spleen",2.95672667192069,"111"
"pleurae","stomach",7.05728677548229,"111"
"spleen","adipocyte",1.35093753841641,"1"
"spleen","artery",0.686922050062914,""
"spleen","bladder",6.02664580474369,"111"
"spleen","bone",2.60435245625016,"111"
"spleen","bowel",10,"111"
"spleen","brain",2.97092018441828,"111"
"spleen","heart",1.07376653139619,"1"
"spleen","kidney",10,"111"
"spleen","liver",3.47282271680677,"111"
"spleen","lung",2.93314856047853,"111"
"spleen","lymph node",10,"111"
"spleen","nerve",1.29114576758143,"1"
"spleen","pancreas",5.88012004246023,"111"
"spleen","pleurae",2.0007467923134,"11"
"spleen","salivary gland",1.02196603347773,"1"
"spleen","skin",10,"111"
"spleen","spleen",10,"111"
"spleen","stomach",3.54709041035866,"111"
"adipocyte","adipocyte",0.216664260776723,""
"adipocyte","artery",10,"111"
"adipocyte","bladder",1.74207801374257,"11"
"adipocyte","bone",9.90304717334016,"111"
"adipocyte","bowel",7.46243925691226,"111"
"adipocyte","brain",2.57919420470254,"111"
"adipocyte","heart",0.598646484620248,""
"adipocyte","kidney",7.39702235196925,"111"
"adipocyte","liver",2.40843617184134,"111"
"adipocyte","lung",0.702520309716661,""
"adipocyte","lymph node",1.01306062464078,"1"
"adipocyte","nerve",1.57099232448425,"11"
"adipocyte","pancreas",1.24239205569861,"1"
"adipocyte","pleurae",1.8628888641224,"11"
"adipocyte","salivary gland",0.115697402980596,""
"adipocyte","skin",0.279329998621943,""
"adipocyte","spleen",10,"111"
"adipocyte","stomach",8.26237237176364,"111"
"artery","adipocyte",2.31705748197938,"111"
"artery","artery",8.38804992461461,"111"
"artery","bladder",6.17604361470202,"111"
"artery","bone",0.699944069618644,""
"artery","bowel",7.93582737338425,"111"
"artery","brain",0.412067229227958,""
"artery","heart",0.977963420913908,"1"
"artery","kidney",7.78403821770457,"111"
"artery","liver",0.60618627279726,""
"artery","lung",0.960890132992769,"1"
"artery","lymph node",4.35867955743361,"111"
"artery","nerve",7.07942004060846,"111"
"artery","pancreas",1.72457868043771,"11"
"artery","pleurae",1.16754647965356,"1"
"artery","salivary gland",0.256334108848912,""
"artery","skin",4.20035556069657,"111"
"artery","spleen",6.27452007705032,"111"
"artery","stomach",7.14174079385596,"111"
"bone","adipocyte",0.141174033841128,""
"bone","artery",10,"111"
"bone","bladder",5.29777166685906,"111"
"bone","bone",10,"111"
"bone","bowel",10,"111"
"bone","brain",5.41817449831436,"111"
"bone","heart",1.17664130007754,"1"
"bone","kidney",10,"111"
"bone","liver",0.234357631159807,""
"bone","lung",8.81212912871856,"111"
"bone","lymph node",0.506463542482989,""
"bone","nerve",1.44337202642622,"1"
"bone","pancreas",10,"111"
"bone","pleurae",0.465124847272597,""
"bone","salivary gland",0.608094802422813,""
"bone","skin",4.05682809528142,"111"
"bone","spleen",10,"111"
"bone","stomach",3.00188552681898,"111"
"pancreas","adipocyte",0.443077261008304,""
"pancreas","artery",8.70643179285806,"111"
"pancreas","bladder",0.385789004715878,""
"pancreas","bone",1.46220250841473,"1"
"pancreas","bowel",0.763154880520978,""
"pancreas","brain",1.5092102705922,"1"
"pancreas","heart",0.109140929028959,""
"pancreas","kidney",0.739406998210909,""
"pancreas","liver",0.567311724873796,""
"pancreas","lung",7.77687147921754,"111"
"pancreas","lymph node",0.0397436832125459,""
"pancreas","nerve",4.65186115766465,"111"
"pancreas","pancreas",2.00247360899929,"11"
"pancreas","pleurae",0.106462226369804,""
"pancreas","salivary gland",1.52276912778272,"1"
"pancreas","skin",0.911850594820491,""
"pancreas","spleen",5.13881013878908,"111"
"pancreas","stomach",1.10356939071175,"1"
"skin","adipocyte",0.428552186404452,""
"skin","artery",0.377268811000431,""
"skin","bladder",10,"111"
"skin","bone",10,"111"
"skin","bowel",10,"111"
"skin","brain",1.59036731618247,"11"
"skin","heart",0.292538538106824,""
"skin","kidney",1.26081727224779,"1"
"skin","liver",0.490364773605812,""
"skin","lung",10,"111"
"skin","lymph node",0.337121836797408,""
"skin","nerve",0.578061475379487,""
"skin","pancreas",10,"111"
"skin","pleurae",3.6855845825609,"111"
"skin","salivary gland",2.00885845099172,"11"
"skin","skin",6.75749206370411,"111"
"skin","spleen",7.99409267792908,"111"
"skin","stomach",0.483596935824806,""
"stomach","adipocyte",0.0893777190845225,""
"stomach","artery",3.86656821388117,"111"
"stomach","bladder",8.20539020468128,"111"
"stomach","bone",10,"111"
"stomach","bowel",6.0079976701025,"111"
"stomach","brain",5.15134628621033,"111"
"stomach","heart",0.139894796332172,""
"stomach","kidney",0.619146107475159,""
"stomach","liver",0.101506939339658,""
"stomach","lung",10,"111"
"stomach","lymph node",0.959784568703602,"1"
"stomach","nerve",7.58634283515776,"111"
"stomach","pancreas",10,"111"
"stomach","pleurae",1.23986317223146,"1"
"stomach","salivary gland",0.633404756916318,""
"stomach","skin",4.37090849178625,"111"
"stomach","spleen",4.74967196334956,"111"
"stomach","stomach",1.41950477381996,"1"
"kidney","adipocyte",0.0264386050768948,""
"kidney","artery",0.385237161795728,""
"kidney","bladder",0.547736343188349,""
"kidney","bone",4.89385813924112,"111"
"kidney","bowel",10,"111"
"kidney","brain",0.124644581719303,""
"kidney","heart",5.13851585890425,"111"
"kidney","kidney",10,"111"
"kidney","liver",0.345059090334184,""
"kidney","lung",0.403952489220666,""
"kidney","lymph node",5.79878637383762,"111"
"kidney","nerve",0.891241842266218,""
"kidney","pancreas",2.99962041919229,"111"
"kidney","pleurae",2.74952348612715,"111"
"kidney","salivary gland",0.693544286411392,""
"kidney","skin",0.138022869286055,""
"kidney","spleen",10,"111"
"kidney","stomach",0.0405447041089624,""
"liver","adipocyte",1.15435166156411,"1"
"liver","artery",10,"111"
"liver","bladder",10,"111"
"liver","bone",10,"111"
"liver","bowel",10,"111"
"liver","brain",2.805047202163,"111"
"liver","heart",1.27873117507403,"1"
"liver","kidney",10,"111"
"liver","liver",5.41641820484747,"111"
"liver","lung",2.98963982759922,"111"
"liver","lymph node",8.23786876554796,"111"
"liver","nerve",0.510529094646644,""
"liver","pancreas",9.34167325242422,"111"
"liver","pleurae",4.54131641555754,"111"
"liver","salivary gland",0.0596975745568076,""
"liver","skin",8.88933494606354,"111"
"liver","spleen",10,"111"
"liver","stomach",0.174671473612336,""
"nerve","adipocyte",0.0646983727877655,""
"nerve","artery",10,"111"
