"y","x","P_trans","t_adj"
"adipocyte","adipocyte",5.44777493495295,"111"
"adipocyte","artery",10,"111"
"adipocyte","bladder",2.38108646113583,"111"
"adipocyte","bone",10,"111"
"adipocyte","bowel",1.0707042563882,"1"
"adipocyte","brain",1.24160269037001,"1"
"adipocyte","heart",1.11982283913259,"1"
"adipocyte","kidney",0.398861148047054,""
"adipocyte","liver",3.68289372087142,"111"
"adipocyte","lung",0.299180254410453,""
"adipocyte","lymph node",2.31357449550755,"111"
"adipocyte","nerve",2.56633784231147,"111"
"adipocyte","pancreas",1.14150637497904,"1"
"adipocyte","pleurae",2.8288830400993,"111"
"adipocyte","salivary gland",0.0149258329031826,""
"adipocyte","skin",0.222769645745352,""
"adipocyte","spleen",10,"111"
"adipocyte","stomach",4.29878581295762,"111"
"artery","adipocyte",10,"111"
"artery","artery",7.49658825089685,"111"
"artery","bladder",10,"111"
"artery","bone",0.823984486321892,"1"
"artery","bowel",10,"111"
"artery","brain",10,"111"
"artery","heart",8.03368174927116,"111"
"artery","kidney",10,"111"
"artery","liver",2.17569861532769,"111"
"artery","lung",0.271193630094039,""
"artery","lymph node",6.2993549044279,"111"
"artery","nerve",1.79554502631387,"11"
"artery","pancreas",1.69659064498602,"11"
"artery","pleurae",2.71579854874211,"111"
"artery","salivary gland",0.0352964531033865,""
"artery","skin",10,"111"
"artery","spleen",5.73788175644527,"111"
"artery","stomach",4.99125862778159,"111"
"bladder","adipocyte",0.525210671058591,""
"bladder","artery",0.0672366662975923,""
"bladder","bladder",0.167080590017722,""
"bladder","bone",5.07325065626891,"111"
"bladder","bowel",0.096435643168031,""
"bladder","brain",0.134204431033329,""
"bladder","heart",1.36554182318605,""
"bladder","kidney",0.0909055957766262,""
"bladder","liver",0.138434816154816,""
"bladder","lung",0.721327842442497,""
"bladder","lymph node",1.76155832815499,"1"
"bladder","nerve",0.225055875951224,""
"bladder","pancreas",0.168106716734236,""
"bladder","pleurae",0.0143125421014725,""
"bladder","salivary gland",0.45335534249418,""
"bladder","skin",0.55501123625375,""
"bladder","spleen",0.0915637296941138,""
"bladder","stomach",1.09201713816332,""
"bone","adipocyte",0.364258623377852,""
"bone","artery",10,"111"
"bone","bladder",2.45099763991194,"111"
"bone","bone",10,"111"
"bone","bowel",10,"111"
