"y","x","P_trans","t_adj"
"ALT","adipocyte",0.186203301790818,""
"ALT","bone",0.539849682296295,""
"ALT","bowel",0.115448797504925,""
"ALT","brain",0.223505693270411,""
"ALT","heart",0.535786209413331,""
"ALT","liver",0.583802998768856,""
"ALT","lung",0.380428924016907,""
"ALT","lymph node",0.0633725355112149,""
"ALT","pleurae",0.261427370905545,""
"ALT","spleen",0.0787822917676677,""
"AST","adipocyte",0.0596192931103072,""
"AST","bone",0.165427891732301,""
"AST","bowel",0.336205014691371,""
"AST","brain",0.519310888324777,""
"AST","heart",0.198938001936867,""
"AST","liver",0.0608937689013567,""
"AST","lung",0.404653649057167,""
"AST","lymph node",0.15508302963957,""
"AST","pleurae",0.247074440069489,""
"AST","spleen",0.028903455875914,""
"Cognitive impairment","adipocyte",2.63661715552707,"11"
"Cognitive impairment","bone",0.334694287377292,""
"Cognitive impairment","bowel",0.00595201978924573,""
"Cognitive impairment","brain",0.105730325689394,""
"Cognitive impairment","heart",0.560019785504831,""
"Cognitive impairment","liver",1.55405557014859,"1"
"Cognitive impairment","lung",0.351086597443793,""
"Cognitive impairment","lymph node",0.252562140962257,""
"Cognitive impairment","pleurae",0.36481221730879,""
"Cognitive impairment","spleen",0.425459067002795,""
"%body fat","adipocyte",1.55677110689916,""
"%body fat","bone",0.0395499904754214,""
"%body fat","bowel",0.285918719105821,""
"%body fat","brain",0.00881475061243809,""
"%body fat","heart",0.295029263529669,""
"%body fat","liver",0.575149429897227,""
"%body fat","lung",0.162085252422923,""
"%body fat","lymph node",0.522329687029005,""
"%body fat","pleurae",0.756199660888706,""
"%body fat","spleen",0.0955743147252088,""
"BMI","adipocyte",1.50285014806842,""
"BMI","bone",0.0165796166017139,""
"BMI","bowel",0.343194963901379,""
"BMI","brain",0.0819731644388063,""
"BMI","heart",0.285213233357544,""
"BMI","liver",0.549445819211611,""
"BMI","lung",0.143798671129114,""
"BMI","lymph node",0.466573183252391,""
"BMI","pleurae",0.723885613123809,""
"BMI","spleen",0.0686459989131194,""
"Waist/height","adipocyte",1.57945322793477,"1"
"Waist/height","bone",0.238395136937213,""
"Waist/height","bowel",0.622349692435919,""
"Waist/height","brain",0.405546735009142,""
"Waist/height","heart",0.12781502232706,""
"Waist/height","liver",1.68837794048823,"1"
"Waist/height","lung",0.153621172717004,""
"Waist/height","lymph node",0.561292385836213,""
"Waist/height","pleurae",0.393987623780957,""
"Waist/height","spleen",0.305918999495595,""
"%lymphocytes","adipocyte",0.212876840711532,""
"%lymphocytes","bone",0.135181257761405,""
"%lymphocytes","bowel",0.747226862788248,""
"%lymphocytes","brain",0.559481551212706,""
"%lymphocytes","heart",0.130206991346917,""
"%lymphocytes","liver",2.23924374189282,"1"
"%lymphocytes","lung",1.11988391559269,""
"%lymphocytes","lymph node",0.0363936446552762,""
"%lymphocytes","pleurae",0.353397623988194,""
